id,nom,ville,arrondissement,quartier,latitude,longitude,telephone,email,type_hopital,couveuses,bloc_operatoire,urgences_24h,maternite
HOP0045,Clinique Luc Bonanjo,Douala,Douala I,Bonanjo,4.102963,9.641768,+237 694 466 382,lucbonanjo@hopitalcam.cm,Hôpital de District,Non,Oui,Oui,Non
HOP0046,Hôpital Saint-Dominique de Essos,Yaoundé,Yaoundé VII,Essos,3.780653,11.421341,+237 694 935 042,dominiqueessos@sante.cm,Hôpital de District,Non,Non,Non,Non
HOP0047,Hôpital Essomba de Olembe,Yaoundé,Yaoundé I,Olembe,3.916169,11.529186,+237 693 319 307,essombaolembe@minsante.cm,Hôpital de District,Non,Non,Oui,Oui
HOP0048,Clinique Paul Kotto,Douala,Douala V,Kotto,4.029003,9.709762,+237 692 577 811,paulkotto@hotmail.com,Hôpital de District,Non,Non,Non,Oui
HOP0049,Centre Hospitalier de Elig-Essono,Yaoundé,Yaoundé VI,Elig-Essono,3.894187,11.477958,+237 695 839 453,elig-essono@hotmail.com,Hôpital de District,Non,Oui,Oui,Oui
HOP0050,Hôpital de Ndoghem,Douala,Douala III,Ndoghem,4.039121,9.760036,+237 696 421 461,ndoghem@minsante.cm,Hôpital de District,Oui,Oui,Oui,Oui
HOP0051,Hôpital de Omnisports,Yaoundé,Yaoundé II,Omnisports,3.798584,11.436287,+237 242 895 579,omnisports@sante.cm,Hôpital de District,Non,Non,Non,Oui
HOP0052,Clinique Marc Ngousso,Yaoundé,Yaoundé III,Ngousso,3.916411,11.571756,+237 652 971 823,marcngousso@gmail.com,Hôpital de District,Oui,Oui,Oui,Oui
HOP0053,Hôpital Saint-Paul de Aetemengue,Yaoundé,Yaoundé V,Aetemengue,3.764901,11.45081,+237 678 739 833,paulaetemengue@hotmail.com,Hôpital de District,Non,Non,Oui,Oui
HOP0054,Hôpital Saint-Cécile de Bonapriso,Douala,Douala VI,Bonapriso,4.035741,9.791242,+237 650 284 820,cécibonapriso@gmail.com,Hôpital de District,Non,Non,Non,Non
HOP0055,Hôpital Saint-Raphaël de Ndogbong,Douala,Douala III,Ndogbong,4.037775,9.655667,+237 699 035 867,raphaëlndogbon@hopitalcam.cm,Hôpital de District,Non,Non,Oui,Oui
HOP0056,Clinique Moussa,Yaoundé,Yaoundé I,Ekounou,3.920599,11.424889,+237 699 916 091,moussa@minsante.cm,Hôpital de District,Non,Oui,Oui,Non
HOP0057,Centre Hospitalier de Tsinga,Yaoundé,Yaoundé V,Tsinga,3.756451,11.453122,+237 677 595 735,tsinga@minsante.cm,Hôpital de District,Oui,Oui,Oui,Non
HOP0058,Hôpital de Nkomo,Yaoundé,Yaoundé V,Nkomo,3.843179,11.575929,+237 222 556 382,nkomo@gmail.com,Hôpital de District,Non,Oui,Oui,Non
HOP0059,Hôpital Saint-Luc de Nyalla,Douala,Douala V,Nyalla,4.113454,9.725221,+237 697 258 601,lucnyalla@minsante.cm,Hôpital de District,Non,Non,Oui,Oui
HOP0060,Hôpital Saint-Joseph de Bonaloka,Douala,Douala IV,Bonaloka,4.030052,9.752602,+237 677 376 589,josephbonaloka@yahoo.fr,Hôpital de District,Oui,Non,Oui,Non
HOP0061,Clinique Bernadette Cité Verte,Yaoundé,Yaoundé I,Cité Verte,3.81781,11.47553,+237 654 716 408,bernadettecité@hopitalcam.cm,Hôpital de District,Non,Oui,Oui,Non
HOP0062,Hôpital Saint-Bernadette de Nkoabang,Yaoundé,Yaoundé II,Nkoabang,3.890953,11.500735,+237 655 280 640,bernadettenkoa@hopitalcam.cm,Hôpital de District,Non,Non,Oui,Oui
HOP0063,Hôpital Saint-Marc de Mendong,Yaoundé,Yaoundé VII,Mendong,3.8612,11.469862,+237 695 752 260,marcmendong@sante.cm,Hôpital de District,Oui,Non,Oui,Oui
HOP0064,Hôpital de Ekounou,Yaoundé,Yaoundé VI,Ekounou,3.885922,11.501574,+237 678 303 263,ekounou@minsante.cm,Hôpital de District,Non,Non,Oui,Oui
HOP0065,Hôpital Owona de Sodiko,Douala,Douala II,Sodiko,4.1273,9.748664,+237 243 467 806,owonasodiko@sante.cm,Hôpital de District,Non,Oui,Oui,Non
HOP0066,Hôpital Saint-Jean de Ndogpassi,Douala,Douala V,Ndogpassi,4.066957,9.685716,+237 653 055 952,jeanndogpassi@yahoo.fr,Hôpital de District,Oui,Non,Oui,Oui
HOP0067,Hôpital Manga de Essos,Yaoundé,Yaoundé III,Essos,3.868985,11.50023,+237 692 744 043,mangaessos@minsante.cm,Hôpital de District,Non,Non,Oui,Oui
HOP0068,Hôpital Bello de Nzeng-Ayong,Douala,Douala V,Nzeng-Ayong,4.052007,9.620837,+237 243 126 141,bellonzeng-ayo@sante.cm,Hôpital de District,Non,Non,Oui,Oui
HOP0069,Clinique Louis Mvog-Beti,Yaoundé,Yaoundé I,Mvog-Beti,3.761858,11.435787,+237 655 088 842,louismvog-beti@yahoo.fr,Hôpital de District,Non,Oui,Non,Non
HOP0070,Clinique Damien Bepanda,Douala,Douala V,Bepanda,4.049797,9.66807,+237 655 848 251,damienbepanda@sante.cm,Hôpital de District,Oui,Oui,Non,Oui
HOP0071,Clinique Paul Nkongmondo,Douala,Douala VI,Nkongmondo,4.032649,9.675232,+237 678 880 141,paulnkongmondo@yahoo.fr,Hôpital de District,Non,Oui,Oui,Oui
HOP0072,Clinique Monique Soboum,Douala,Douala I,Soboum,4.038054,9.699647,+237 243 051 538,moniquesoboum@minsante.cm,Hôpital de District,Non,Oui,Non,Oui
HOP0073,Centre Hospitalier de Mokolo,Yaoundé,Yaoundé VII,Mokolo,3.86572,11.551479,+237 222 506 745,mokolo@yahoo.fr,Hôpital de District,Non,Oui,Oui,Non
HOP0074,Hôpital Saint-Pierre de Cite SIC,Douala,Douala III,Cite SIC,4.028876,9.77284,+237 695 433 734,pierrecitesic@hopitalcam.cm,Hôpital de District,Non,Oui,Oui,Oui
HOP0075,Hôpital Saint-Damien de Santa Barbara,Yaoundé,Yaoundé VI,Santa Barbara,3.892439,11.444612,+237 698 428 881,damiensantabar@yahoo.fr,Hôpital de District,Non,Oui,Non,Oui
HOP0076,Hôpital Moussa de Ndogbong,Douala,Douala IV,Ndogbong,4.085927,9.627561,+237 696 488 429,moussandogbong@hopitalcam.cm,Hôpital de District,Non,Non,Oui,Oui
HOP0077,Clinique Bernadette Bonaloka,Douala,Douala III,Bonaloka,4.124229,9.70834,+237 691 432 001,bernadettebona@yahoo.fr,Hôpital de District,Non,Oui,Oui,Non
HOP0078,Hôpital Kamga de Ndog-Bong,Douala,Douala V,Ndog-Bong,4.047949,9.649461,+237 678 381 509,kamgandog-bong@hotmail.com,Hôpital de District,Oui,Oui,Oui,Non
HOP0079,Clinique Gabriel Cité des Palmiers,Douala,Douala II,Cité des Palmiers,4.028651,9.689393,+237 222 386 261,gabrielcitédes@yahoo.fr,Hôpital de District,Non,Oui,Non,Non
HOP0080,Hôpital Saint-Pierre de Tsinga,Yaoundé,Yaoundé I,Tsinga,3.872258,11.50191,+237 697 584 918,pierretsinga@hotmail.com,Hôpital de District,Non,Oui,Oui,Non
HOP0081,Clinique André Youpwé,Douala,Douala II,Youpwé,4.111411,9.668634,+237 652 019 997,andréyoupwé@sante.cm,Hôpital de District,Non,Non,Oui,Oui
HOP0082,Clinique Pierre Olembe,Yaoundé,Yaoundé VII,Olembe,3.812789,11.41519,+237 651 176 688,pierreolembe@sante.cm,Hôpital de District,Non,Oui,Oui,Oui
HOP0083,Hôpital Saint-Jean de Mvog-Beti,Yaoundé,Yaoundé IV,Mvog-Beti,3.954258,11.515781,+237 690 105 295,jeanmvog-beti@hotmail.com,Hôpital de District,Non,Non,Oui,Oui
HOP0084,Hôpital Fouda de Bepanda,Douala,Douala I,Bepanda,4.017509,9.648875,+237 694 508 012,foudabepanda@sante.cm,Hôpital de District,Non,Non,Oui,Oui
HOP0085,Clinique Damien PK12,Douala,Douala VI,PK12,4.113371,9.751873,+237 654 306 880,damienpk12@hotmail.com,Hôpital de District,Non,Oui,Oui,Oui
HOP0086,Hôpital Tchoupo de Etoudi,Yaoundé,Yaoundé IV,Etoudi,3.861867,11.426848,+237 677 032 186,tchoupoetoudi@minsante.cm,Hôpital de District,Oui,Oui,Oui,Oui
HOP0087,Hôpital Saint-Anne de Émana,Yaoundé,Yaoundé IV,Émana,3.847028,11.528081,+237 233 294 875,anneémana@sante.cm,Hôpital de District,Non,Oui,Non,Oui
HOP0088,Clinique Cécile Mvan,Yaoundé,Yaoundé I,Mvan,3.830351,11.398047,+237 692 387 515,cécimvan@yahoo.fr,Hôpital de District,Non,Non,Oui,Oui
HOP0089,Hôpital Engoulou de Youpwé,Douala,Douala II,Youpwé,4.070331,9.697408,+237 693 185 069,engoulouyoupwé@gmail.com,Hôpital de District,Non,Non,Non,Oui
HOP0090,Hôpital de Olembe,Yaoundé,Yaoundé III,Olembe,3.815124,11.450748,+237 697 397 148,olembe@sante.cm,Hôpital de District,Non,Non,Oui,Oui
HOP0091,Centre Hospitalier de Nyalla,Douala,Douala V,Nyalla,4.052814,9.78117,+237 694 207 794,nyalla@hopitalcam.cm,Hôpital de District,Non,Non,Non,Non
HOP0092,Hôpital Saint-Élisabeth de Deido,Douala,Douala I,Deido,4.10383,9.722722,+237 695 694 194,élisabethdeido@hotmail.com,Hôpital de District,Non,Non,Oui,Oui
HOP0093,Clinique Bernadette Simbock,Yaoundé,Yaoundé VII,Simbock,3.840223,11.530241,+237 698 111 794,bernadettesimb@hotmail.com,Hôpital de District,Non,Non,Oui,Non
HOP0094,Clinique Dominique Émana,Yaoundé,Yaoundé I,Émana,3.744321,11.487052,+237 692 224 650,dominiqueémana@yahoo.fr,Hôpital de District,Non,Non,Non,Non
HOP0095,Hôpital Onana de Bessengue,Douala,Douala II,Bessengue,4.060097,9.679036,+237 651 644 875,onanabessengue@hotmail.com,Hôpital de District,Non,Non,Oui,Non
HOP0096,Hôpital Saint-Bernadette de Étoa-Meki,Yaoundé,Yaoundé V,Étoa-Meki,3.763836,11.434005,+237 655 212 780,bernadetteétoa@yahoo.fr,Hôpital de District,Non,Non,Non,Oui
HOP0097,Clinique Kuitche,Yaoundé,Yaoundé V,Ngoa-Ekélé,3.94064,11.510705,+237 691 557 990,kuitche@sante.cm,Hôpital de District,Oui,Non,Non,Oui
HOP0098,Clinique Manga,Yaoundé,Yaoundé II,Madagascar,3.85762,11.448182,+237 233 011 990,manga@hopitalcam.cm,Hôpital de District,Non,Oui,Non,Oui
HOP0099,Hôpital Saint-Patrick de Messa,Yaoundé,Yaoundé IV,Messa,3.950728,11.532959,+237 697 197 941,patrickmessa@hotmail.com,Hôpital de District,Non,Non,Oui,Oui
HOP0100,Clinique Thérèse Melen,Yaoundé,Yaoundé III,Melen,3.850491,11.546743,+237 696 482 277,thérèsemelen@yahoo.fr,Hôpital de District,Non,Non,Oui,Oui
HOP0101,Clinique Tchoupo,Yaoundé,Yaoundé II,Elig-Essono,3.86933,11.52336,+237 652 459 189,tchoupo@minsante.cm,Hôpital de District,Non,Oui,Oui,Oui
HOP0102,Hôpital Saint-Bernadette de Santa Barbara,Yaoundé,Yaoundé III,Santa Barbara,3.808022,11.598693,+237 699 322 159,bernadettesant@hotmail.com,Hôpital de District,Non,Non,Non,Oui
HOP0103,Hôpital de Nkongmondo,Douala,Douala V,Nkongmondo,4.063917,9.629959,+237 653 039 293,nkongmondo@sante.cm,Hôpital de District,Oui,Non,Oui,Oui
HOP0104,Hôpital de PK8,Douala,Douala IV,PK8,4.072126,9.708854,+237 678 783 928,pk8@gmail.com,Hôpital de District,Oui,Non,Non,Oui
HOP0105,Hôpital Saint-Barnabé de Tsinga,Yaoundé,Yaoundé VI,Tsinga,3.907125,11.428083,+237 678 947 287,barnabétsinga@gmail.com,Hôpital de District,Oui,Oui,Non,Non
HOP0106,Clinique Thérèse Kotto,Douala,Douala I,Kotto,4.069614,9.68493,+237 679 804 085,thérèsekotto@sante.cm,Hôpital de District,Non,Oui,Non,Non
HOP0107,Centre Hospitalier de Cité des Palmiers,Douala,Douala II,Cité des Palmiers,4.067284,9.657137,+237 655 708 390,citédespalmier@gmail.com,Hôpital de District,Non,Non,Oui,Non
HOP0108,Hôpital Saint-Joseph de Kotto,Douala,Douala VI,Kotto,4.085111,9.723069,+237 233 951 122,josephkotto@hopitalcam.cm,Hôpital de District,Non,Oui,Non,Oui
HOP0109,Hôpital Saint-Anne de Bastos,Yaoundé,Yaoundé I,Bastos,3.91456,11.569784,+237 233 303 393,annebastos@yahoo.fr,Hôpital de District,Non,Oui,Oui,Non
HOP0110,Hôpital Mbassi de Ngoa-Ekélé,Yaoundé,Yaoundé II,Ngoa-Ekélé,3.775769,11.534595,+237 654 706 077,mbassingoa-eké@gmail.com,Hôpital de District,Non,Oui,Non,Non
HOP0111,Hôpital Saint-Camille de Bonamoussadi,Douala,Douala VI,Bonamoussadi,4.03913,9.794797,+237 650 251 925,camilbonamouss@yahoo.fr,Hôpital de District,Non,Oui,Non,Oui
HOP0112,Hôpital Ekani de Étoa-Meki,Yaoundé,Yaoundé VI,Étoa-Meki,3.825548,11.497311,+237 653 225 356,ekaniétoa-meki@sante.cm,Hôpital de District,Non,Non,Non,Non
HOP0113,Hôpital Djoumbi de Ndoghem,Douala,Douala V,Ndoghem,4.058202,9.769197,+237 694 788 375,djoumbindoghem@gmail.com,Hôpital de District,Non,Non,Oui,Oui
HOP0114,Hôpital Saint-Thérèse de PK8,Douala,Douala VI,PK8,4.029494,9.688347,+237 653 461 280,thérèsepk8@sante.cm,Hôpital de District,Oui,Non,Non,Oui
HOP0115,Hôpital Belinga de Mendong,Yaoundé,Yaoundé III,Mendong,3.880158,11.474545,+237 243 481 732,belingamendong@hopitalcam.cm,Hôpital de District,Non,Non,Oui,Oui
HOP0116,Centre Hospitalier de Djoungolo,Yaoundé,Yaoundé IV,Djoungolo,3.856043,11.446497,+237 692 825 398,djoungolo@sante.cm,Hôpital de District,Non,Non,Oui,Oui
HOP0117,Hôpital Nkeng de Nkoldongo,Yaoundé,Yaoundé III,Nkoldongo,3.850259,11.564656,+237 655 933 970,nkengnkoldongo@hotmail.com,Hôpital de District,Non,Oui,Oui,Oui
HOP0118,Hôpital Saint-Anne de Nyalla,Douala,Douala II,Nyalla,4.111936,9.725245,+237 678 228 004,annenyalla@minsante.cm,Hôpital de District,Oui,Oui,Oui,Oui
HOP0119,Hôpital Saint-Marie de New Bell,Douala,Douala IV,New Bell,4.039971,9.728506,+237 233 718 557,marienewbell@hopitalcam.cm,Hôpital de District,Non,Oui,Oui,Oui
HOP0120,Centre Hospitalier de Bonaberi,Douala,Douala VI,Bonaberi,4.021308,9.676538,+237 694 726 854,bonaberi@yahoo.fr,Hôpital de District,Oui,Oui,Oui,Oui
HOP0121,Hôpital Saint-Marc de Makepe,Douala,Douala I,Makepe,3.964806,9.724161,+237 243 925 403,marcmakepe@gmail.com,Hôpital de District,Non,Oui,Non,Oui
HOP0122,Clinique André Biteng,Yaoundé,Yaoundé II,Biteng,3.839965,11.466157,+237 697 883 649,andrébiteng@yahoo.fr,Hôpital de District,Oui,Non,Oui,Oui
HOP0123,Hôpital de Obili,Yaoundé,Yaoundé II,Obili,3.899164,11.523254,+237 695 357 652,obili@minsante.cm,Hôpital de District,Non,Oui,Oui,Oui
HOP0124,Clinique Marie New Bell,Douala,Douala VI,New Bell,4.01266,9.787914,+237 698 606 020,marienewbell@yahoo.fr,Hôpital de District,Non,Non,Oui,Oui
HOP0125,Hôpital Kamga de PK12,Douala,Douala I,PK12,4.050091,9.636397,+237 699 695 454,kamgapk12@gmail.com,Hôpital de District,Non,Non,Oui,Oui
HOP0126,Clinique Barnabé Nkolmesseng,Yaoundé,Yaoundé II,Nkolmesseng,3.901842,11.507181,+237 690 094 266,barnabénkolmes@sante.cm,Hôpital de District,Non,Non,Oui,Oui
HOP0127,Hôpital de Nkolmesseng,Yaoundé,Yaoundé III,Nkolmesseng,3.817923,11.559269,+237 677 914 499,nkolmesseng@yahoo.fr,Hôpital de District,Oui,Oui,Non,Oui
HOP0128,Hôpital Saint-Dominique de Soboum,Douala,Douala VI,Soboum,4.112322,9.719656,+237 698 438 077,dominiquesobou@yahoo.fr,Hôpital de District,Oui,Oui,Oui,Oui
HOP0129,Clinique Augustin New Bell,Douala,Douala II,New Bell,3.998392,9.780062,+237 655 125 108,augustinnewbel@hotmail.com,Hôpital de District,Non,Non,Non,Oui
HOP0130,Clinique Barnabé Nlongkak,Yaoundé,Yaoundé I,Nlongkak,3.789065,11.429748,+237 652 465 024,barnabénlongka@hotmail.com,Hôpital de District,Non,Oui,Oui,Oui
HOP0131,Hôpital de Sodiko,Douala,Douala VI,Sodiko,4.010699,9.681373,+237 697 102 499,sodiko@yahoo.fr,Hôpital de District,Non,Oui,Oui,Oui
HOP0132,Hôpital Saint-Anne de Ndoghem,Douala,Douala V,Ndoghem,4.063574,9.794098,+237 691 082 963,annendoghem@sante.cm,Hôpital de District,Non,Oui,Oui,Oui
HOP0133,Hôpital Onana de Mvog-Atangana,Yaoundé,Yaoundé VI,Mvog-Atangana,3.891656,11.504704,+237 691 385 823,onanamvog-atan@gmail.com,Hôpital de District,Oui,Oui,Oui,Oui
HOP0134,Hôpital Saint-Monique de Bali,Douala,Douala IV,Bali,4.072414,9.641441,+237 651 210 346,moniquebali@minsante.cm,Hôpital de District,Non,Oui,Oui,Oui
HOP0135,Hôpital Wamba de Elig-Essono,Yaoundé,Yaoundé V,Elig-Essono,3.780348,11.536656,+237 677 807 376,wambaelig-esso@gmail.com,Hôpital de District,Non,Non,Oui,Oui
HOP0136,Clinique Ngu,Yaoundé,Yaoundé III,Nkolbisson,3.81495,11.452828,+237 652 370 865,ngu@gmail.com,Hôpital de District,Oui,Oui,Oui,Oui
HOP0137,Centre Hospitalier de Nkongmondo,Douala,Douala III,Nkongmondo,4.094195,9.76077,+237 679 217 280,nkongmondo@hopitalcam.cm,Hôpital de District,Oui,Oui,Non,Oui
HOP0138,Clinique Claire Nkoldongo,Yaoundé,Yaoundé IV,Nkoldongo,3.939824,11.498078,+237 695 882 654,clairenkoldong@minsante.cm,Hôpital de District,Non,Non,Oui,Oui
HOP0139,Centre Hospitalier de Melen,Yaoundé,Yaoundé VII,Melen,3.922648,11.505128,+237 655 071 290,melen@yahoo.fr,Hôpital de District,Non,Oui,Non,Oui
HOP0140,Hôpital Saint-Thérèse de Mvan,Yaoundé,Yaoundé IV,Mvan,3.779389,11.488929,+237 650 241 958,thérèsemvan@gmail.com,Hôpital de District,Oui,Non,Oui,Oui
HOP0141,Clinique Elong,Yaoundé,Yaoundé IV,Simbock,3.842121,11.441027,+237 694 638 712,elong@hopitalcam.cm,Hôpital de District,Non,Oui,Non,Non
HOP0142,Clinique Anne Nkoabang,Yaoundé,Yaoundé II,Nkoabang,3.896052,11.561932,+237 243 078 427,annenkoabang@hopitalcam.cm,Hôpital de District,Non,Oui,Oui,Non
HOP0143,Hôpital de Bassa,Douala,Douala II,Bassa,4.058207,9.764046,+237 679 418 158,bassa@hotmail.com,Hôpital de District,Non,Non,Oui,Oui
