id,nom,ville,arrondissement,quartier,latitude,longitude,telephone,email,pharmacie_de_garde,type_garde,horaires,livraison_domicile,parapharmacie,materiel_medical
PHA0012,Officine Moussa de Mendong,Yaoundé,Yaoundé I,Mendong,3.947455,11.511753,+237 694 493 495,moussamendong@pharmacie.cm,Oui,Weekend,Sam–Dim 08h00 — 20h00,Non,Oui,Non
PHA0013,Officine Nguele de Ndog-Passi III,Douala,Douala VI,Ndog-Passi III,4.065316,9.757943,+237 679 186 969,nguendog-passi@sante.cm,Oui,Nuit,20h00 — 08h00,Oui,Oui,Oui
PHA0014,Officine Owona de Nkongmondo,Douala,Douala VI,Nkongmondo,4.057278,9.79411,+237 678 526 506,owonankongmond@sante.cm,Non,Standard,Lun–Dim 08h00–20h00,Non,Non,Non
PHA0015,Pharmacie Bernadette Tsinga,Yaoundé,Yaoundé I,Tsinga,3.844248,11.427031,+237 243 689 573,bernadettetsin@hotmail.com,Non,Standard,Lun–Sam 07h00–21h00,Oui,Non,Non
PHA0016,Pharmacie Paul Elig-Essono,Yaoundé,Yaoundé IV,Elig-Essono,3.858228,11.604431,+237 697 674 357,paulelig-esson@sante.cm,Non,Standard,Lun–Ven 08h00–19h00,Oui,Oui,Oui
PHA0017,Pharmacie du Mvan,Yaoundé,Yaoundé II,Mvan,3.856941,11.517057,+237 699 967 849,mvan@gmail.com,Oui,Nuit,20h00 — 08h00,Non,Oui,Non
PHA0018,Officine Hamadou de Ekounou,Yaoundé,Yaoundé IV,Ekounou,3.748205,11.477998,+237 699 228 345,hamadouekounou@hotmail.com,Non,Standard,Lun–Sam 08h00–18h30,Non,Non,Oui
PHA0019,Pharmacie du Mimboman,Yaoundé,Yaoundé III,Mimboman,3.842529,11.478356,+237 243 094 097,mimboman@sante.cm,Non,Standard,Lun–Sam 07h30–20h00,Oui,Oui,Oui
PHA0020,Officine Nguele de Kotto,Douala,Douala I,Kotto,4.073012,9.63998,+237 652 929 925,nguekotto@yahoo.fr,Non,Standard,Lun–Sam 07h00–21h00,Oui,Oui,Non
PHA0021,Officine Mvé de Obili,Yaoundé,Yaoundé VII,Obili,3.843877,11.555399,+237 655 105 599,mvéobili@hotmail.com,Non,Standard,Lun–Sam 08h00–18h30,Non,Oui,Oui
PHA0022,Pharmacie de PK12,Douala,Douala II,PK12,4.103346,9.67131,+237 695 699 383,pk12@pharmacie.cm,Oui,Weekend,Sam–Dim 08h00 — 20h00,Oui,Oui,Non
PHA0023,Pharmacie Paul Bessengue,Douala,Douala IV,Bessengue,3.996807,9.690314,+237 242 513 699,paulbessengue@pharmacie.cm,Oui,Nuit,20h00 — 08h00,Non,Non,Oui
PHA0024,Pharmacie Saint-Paul,Yaoundé,Yaoundé III,Mvog-Atangana,3.840602,11.394883,+237 678 648 339,paul@yahoo.fr,Non,Standard,Lun–Sam 08h00–18h30,Non,Oui,Non
PHA0025,Officine Kuitche de Étoa-Meki,Yaoundé,Yaoundé II,Étoa-Meki,3.869684,11.50402,+237 243 685 397,kuitcheétoa-me@yahoo.fr,Oui,Nuit,20h00 — 08h00,Non,Non,Oui
PHA0026,Officine Mvé de Sodiko,Douala,Douala V,Sodiko,4.050325,9.659153,+237 679 067 918,mvésodiko@hotmail.com,Non,Standard,Lun–Sam 08h00–18h30,Non,Oui,Oui
PHA0027,Pharmacie Jeanne Ndog-Passi III,Douala,Douala V,Ndog-Passi III,4.066498,9.661805,+237 677 227 326,jeannendog-pas@sante.cm,Non,Standard,Lun–Sam 07h00–21h00,Non,Oui,Non
PHA0028,Pharmacie du Tsinga,Yaoundé,Yaoundé I,Tsinga,3.79061,11.547055,+237 222 257 084,tsinga@hotmail.com,Non,Standard,Lun–Ven 08h00–19h00,Non,Non,Non
PHA0029,Officine Ekani de Youpwé,Douala,Douala IV,Youpwé,3.982146,9.701713,+237 652 740 314,ekaniyoupwé@sante.cm,Oui,Permanente,24h/24 — 7j/7,Non,Oui,Oui
PHA0030,Pharmacie du Melen,Yaoundé,Yaoundé IV,Melen,3.852759,11.547945,+237 697 987 051,melen@yahoo.fr,Oui,Nuit,20h00 — 08h00,Non,Oui,Non
PHA0031,Pharmacie Marc Bonamoussadi,Douala,Douala VI,Bonamoussadi,4.083196,9.692771,+237 651 626 309,marcbonamoussa@gmail.com,Oui,Nuit,20h00 — 08h00,Non,Non,Non
PHA0032,Officine Nguele de Boko,Douala,Douala VI,Boko,4.062909,9.651957,+237 653 180 130,ngueboko@pharmacie.cm,Non,Standard,Lun–Sam 08h00–18h30,Non,Oui,Oui
PHA0033,Pharmacie du Nyalla,Douala,Douala III,Nyalla,4.071761,9.672938,+237 693 084 639,nyalla@sante.cm,Oui,Permanente,24h/24 — 7j/7,Non,Non,Non
PHA0034,Officine Wamba de Bonamoussadi,Douala,Douala VI,Bonamoussadi,3.971683,9.720722,+237 222 908 670,wambabonamouss@yahoo.fr,Oui,Nuit,20h00 — 08h00,Non,Oui,Non
PHA0035,Officine Assamba de Bonapriso,Douala,Douala IV,Bonapriso,3.978209,9.74879,+237 692 513 542,assambabonapri@pharmacie.cm,Non,Standard,Lun–Ven 08h00–19h00,Oui,Oui,Non
PHA0036,Officine Tabi de Ndog-Bong,Douala,Douala IV,Ndog-Bong,3.981603,9.716511,+237 695 276 281,tabindog-bong@yahoo.fr,Oui,Permanente,24h/24 — 7j/7,Oui,Non,Oui
PHA0037,Officine Elong de Nsam,Yaoundé,Yaoundé II,Nsam,3.853831,11.577732,+237 678 804 856,elongnsam@hotmail.com,Oui,Weekend,Sam–Dim 08h00 — 20h00,Non,Oui,Oui
PHA0038,Pharmacie de la Bonheur,Yaoundé,Yaoundé I,Ngousso,3.789798,11.546575,+237 690 210 119,bonheur@gmail.com,Non,Standard,Lun–Sam 07h30–20h00,Non,Oui,Non
PHA0039,Pharmacie Étienne Mvan,Yaoundé,Yaoundé III,Mvan,3.858526,11.591397,+237 653 406 574,étiennemvan@pharmacie.cm,Non,Standard,Lun–Ven 08h00–19h00,Non,Oui,Non
PHA0040,Pharmacie de Tsinga,Yaoundé,Yaoundé III,Tsinga,3.863712,11.547817,+237 694 804 072,tsinga@yahoo.fr,Oui,Nuit,20h00 — 08h00,Non,Non,Oui
PHA0041,Pharmacie du Biyem-Assi,Yaoundé,Yaoundé I,Biyem-Assi,3.758072,11.445618,+237 678 410 765,biyem-assi@gmail.com,Non,Standard,Lun–Sam 08h00–18h30,Oui,Oui,Non
PHA0042,Pharmacie Raphaël Logbessou,Douala,Douala V,Logbessou,4.02764,9.651185,+237 692 349 343,raphaëllogbess@pharmacie.cm,Non,Standard,Lun–Sam 08h00–18h30,Oui,Oui,Non
PHA0043,Pharmacie de Mendong,Yaoundé,Yaoundé III,Mendong,3.882142,11.55513,+237 677 018 876,mendong@sante.cm,Oui,Weekend,Sam–Dim 08h00 — 20h00,Oui,Non,Oui
PHA0044,Officine Ateba de Cité Verte,Yaoundé,Yaoundé VII,Cité Verte,3.873858,11.545917,+237 694 392 762,atebacitéverte@sante.cm,Oui,Nuit,20h00 — 08h00,Non,Oui,Non
PHA0045,Pharmacie Augustin Bonaloka,Douala,Douala I,Bonaloka,4.078144,9.641523,+237 654 654 986,augustinbonalo@yahoo.fr,Oui,Nuit,20h00 — 08h00,Oui,Oui,Non
PHA0046,Pharmacie du Nlongkak,Yaoundé,Yaoundé II,Nlongkak,3.896361,11.541784,+237 693 827 397,nlongkak@hotmail.com,Oui,Nuit,20h00 — 08h00,Oui,Oui,Oui
PHA0047,Officine Wamba de Boko,Douala,Douala IV,Boko,3.971963,9.666896,+237 693 790 267,wambaboko@hotmail.com,Non,Standard,Lun–Dim 08h00–20h00,Oui,Oui,Oui
PHA0048,Officine Bikié de Étoa-Meki,Yaoundé,Yaoundé IV,Étoa-Meki,3.909249,11.537197,+237 695 733 958,bikiéétoa-meki@sante.cm,Oui,Nuit,20h00 — 08h00,Non,Oui,Non
PHA0049,Officine Essomba de Youpwé,Douala,Douala I,Youpwé,3.99074,9.705346,+237 691 825 114,essombayoupwé@gmail.com,Oui,Weekend,Sam–Dim 08h00 — 20h00,Non,Oui,Non
PHA0050,Pharmacie Hamadou,Yaoundé,Yaoundé II,Tsinga,3.920152,11.561434,+237 654 430 262,hamadou@yahoo.fr,Non,Standard,Lun–Sam 07h00–21h00,Non,Oui,Non
PHA0051,Pharmacie Kuitche,Yaoundé,Yaoundé I,Obili,3.850036,11.531072,+237 696 425 989,kuitche@hotmail.com,Oui,Weekend,Sam–Dim 08h00 — 20h00,Non,Oui,Non
PHA0052,Officine Mvogo de Nkol-Eton,Yaoundé,Yaoundé II,Nkol-Eton,3.873794,11.425003,+237 697 764 871,mvogonkol-eton@sante.cm,Non,Standard,Lun–Sam 07h30–20h00,Non,Non,Oui
PHA0053,Pharmacie Michel Nkolbisson,Yaoundé,Yaoundé III,Nkolbisson,3.929256,11.556788,+237 690 109 790,michelnkolbiss@sante.cm,Oui,Permanente,24h/24 — 7j/7,Non,Non,Non
PHA0054,Officine Onana de Logbessou,Douala,Douala III,Logbessou,4.07036,9.673196,+237 696 951 342,onanalogbessou@hotmail.com,Non,Standard,Lun–Sam 07h00–21h00,Oui,Oui,Non
PHA0055,Pharmacie de Ndokoti,Douala,Douala IV,Ndokoti,4.105276,9.687208,+237 691 643 588,ndokoti@yahoo.fr,Non,Standard,Lun–Dim 08h00–20h00,Non,Oui,Non
PHA0056,Officine Ateba de Bassa,Douala,Douala V,Bassa,4.046584,9.649371,+237 696 141 202,atebabassa@hotmail.com,Oui,Permanente,24h/24 — 7j/7,Non,Oui,Oui
PHA0057,Pharmacie Claire Odza,Yaoundé,Yaoundé I,Odza,3.755146,11.451232,+237 678 376 103,claireodza@sante.cm,Non,Standard,Lun–Sam 08h00–18h30,Non,Non,Non
PHA0058,Pharmacie de Efoulan,Yaoundé,Yaoundé IV,Efoulan,3.906368,11.412408,+237 693 887 133,efoulan@sante.cm,Non,Standard,Lun–Sam 07h00–21h00,Non,Oui,Non
PHA0059,Pharmacie du Biteng,Yaoundé,Yaoundé II,Biteng,3.845388,11.435962,+237 690 991 798,biteng@hotmail.com,Non,Standard,Lun–Sam 07h00–21h00,Non,Non,Oui
PHA0060,Pharmacie Bruno Bessengue,Douala,Douala II,Bessengue,3.983807,9.766247,+237 653 073 638,brunobessengue@sante.cm,Oui,Weekend,Sam–Dim 08h00 — 20h00,Oui,Oui,Non
PHA0061,Officine Kamga de Village,Douala,Douala II,Village,4.026218,9.685285,+237 691 147 221,kamgavillage@sante.cm,Oui,Weekend,Sam–Dim 08h00 — 20h00,Oui,Non,Non
PHA0062,Officine Ndjock de Nlongkak,Yaoundé,Yaoundé III,Nlongkak,3.851506,11.611148,+237 699 730 746,ndjocknlongkak@hotmail.com,Non,Standard,Lun–Sam 08h00–18h30,Non,Non,Non
PHA0063,Officine Nlend de Japoma,Douala,Douala III,Japoma,4.026333,9.780894,+237 654 918 654,nlendjapoma@pharmacie.cm,Non,Standard,Lun–Ven 08h00–19h00,Non,Non,Non
PHA0064,Pharmacie Camille Boko,Douala,Douala III,Boko,4.028124,9.695531,+237 696 164 818,camilboko@gmail.com,Oui,Nuit,20h00 — 08h00,Non,Oui,Oui
PHA0065,Officine Ndoumbe de Youpwé,Douala,Douala VI,Youpwé,4.140597,9.713841,+237 696 020 714,ndoumbeyoupwé@sante.cm,Non,Standard,Lun–Sam 08h00–18h30,Oui,Oui,Oui
PHA0066,Officine Nkeng de Mvan,Yaoundé,Yaoundé V,Mvan,3.771475,11.440502,+237 697 473 386,nkengmvan@gmail.com,Oui,Nuit,20h00 — 08h00,Non,Oui,Oui
PHA0067,Officine Manga de Akwa,Douala,Douala II,Akwa,4.011166,9.695768,+237 679 144 928,mangaakwa@gmail.com,Non,Standard,Lun–Ven 08h00–19h00,Oui,Oui,Non
PHA0068,Officine Elong de Bepanda,Douala,Douala III,Bepanda,4.063224,9.733384,+237 222 859 422,elongbepanda@hotmail.com,Oui,Nuit,20h00 — 08h00,Non,Oui,Non
PHA0069,Pharmacie Raphaël Mboppi,Douala,Douala III,Mboppi,4.03909,9.730983,+237 696 641 283,raphaëlmboppi@pharmacie.cm,Oui,Weekend,Sam–Dim 08h00 — 20h00,Oui,Oui,Oui
PHA0070,Officine Mbassi de Briqueterie,Yaoundé,Yaoundé VI,Briqueterie,3.903118,11.547448,+237 651 099 713,mbassibriquete@pharmacie.cm,Non,Standard,Lun–Ven 08h00–19h00,Oui,Oui,Oui
PHA0071,Officine Kuitche de Japoma,Douala,Douala IV,Japoma,4.01484,9.7222,+237 677 890 742,kuitchejapoma@pharmacie.cm,Non,Standard,Lun–Sam 07h30–20h00,Non,Oui,Non
PHA0072,Pharmacie Saint-Camille,Yaoundé,Yaoundé III,Omnisports,3.854431,11.540063,+237 692 386 284,camille@pharmacie.cm,Oui,Weekend,Sam–Dim 08h00 — 20h00,Non,Oui,Non
PHA0073,Officine Mvé de Efoulan,Yaoundé,Yaoundé II,Efoulan,3.872944,11.489403,+237 679 560 063,mvéefoulan@gmail.com,Oui,Weekend,Sam–Dim 08h00 — 20h00,Oui,Non,Oui
PHA0074,Officine Nkoa de Kondengui,Yaoundé,Yaoundé II,Kondengui,3.821829,11.470268,+237 699 564 638,nkoakondengui@yahoo.fr,Non,Standard,Lun–Dim 08h00–20h00,Non,Non,Oui
PHA0075,Pharmacie du Ngoa-Ekélé,Yaoundé,Yaoundé V,Ngoa-Ekélé,3.887676,11.446222,+237 692 745 006,ngoa-ekélé@yahoo.fr,Oui,Permanente,24h/24 — 7j/7,Oui,Oui,Non
PHA0076,Officine Moussa de Youpwé,Douala,Douala III,Youpwé,4.108512,9.772728,+237 650 511 448,moussayoupwé@hotmail.com,Oui,Permanente,24h/24 — 7j/7,Non,Oui,Oui
PHA0077,Pharmacie Paul Mboppi,Douala,Douala I,Mboppi,4.035585,9.791048,+237 679 980 759,paulmboppi@hotmail.com,Oui,Permanente,24h/24 — 7j/7,Non,Oui,Non
PHA0078,Officine Engoulou de Bonaberi,Douala,Douala V,Bonaberi,4.067784,9.657204,+237 698 288 478,engouloubonabe@hotmail.com,Non,Standard,Lun–Sam 07h00–21h00,Non,Oui,Oui
PHA0079,Officine Onana de Bepanda,Douala,Douala IV,Bepanda,4.024038,9.718978,+237 678 430 749,onanabepanda@yahoo.fr,Non,Standard,Lun–Sam 07h00–21h00,Non,Oui,Non
PHA0080,Pharmacie Félicité Sodiko,Douala,Douala IV,Sodiko,4.034664,9.784343,+237 697 605 724,félicitésodiko@yahoo.fr,Non,Standard,Lun–Sam 07h30–20h00,Non,Non,Non
PHA0081,Pharmacie de Nsam,Yaoundé,Yaoundé IV,Nsam,3.770172,11.513926,+237 650 333 034,nsam@hotmail.com,Oui,Nuit,20h00 — 08h00,Non,Oui,Oui
PHA0082,Pharmacie Augustin Japoma,Douala,Douala IV,Japoma,4.089731,9.677051,+237 697 975 083,augustinjapoma@sante.cm,Oui,Weekend,Sam–Dim 08h00 — 20h00,Non,Oui,Oui
PHA0083,Pharmacie Augustin Kondengui,Yaoundé,Yaoundé VII,Kondengui,3.888011,11.537165,+237 699 245 308,augustinkonden@pharmacie.cm,Oui,Nuit,20h00 — 08h00,Non,Oui,Non
PHA0084,Pharmacie du Deido,Douala,Douala VI,Deido,3.997259,9.673998,+237 243 739 508,deido@pharmacie.cm,Non,Standard,Lun–Sam 07h00–21h00,Oui,Oui,Non
PHA0085,Pharmacie Saint-Damien,Yaoundé,Yaoundé I,Santa Barbara,3.886555,11.415129,+237 652 063 553,damien@sante.cm,Non,Standard,Lun–Dim 08h00–20h00,Oui,Non,Non
PHA0086,Officine Fotso de Bonamoussadi,Douala,Douala IV,Bonamoussadi,4.067771,9.711337,+237 651 393 026,fotsobonamouss@hotmail.com,Oui,Weekend,Sam–Dim 08h00 — 20h00,Oui,Non,Non
PHA0087,Pharmacie de la Alliance,Yaoundé,Yaoundé VI,Nkol-Eton,3.890584,11.511857,+237 698 325 017,alliance@gmail.com,Oui,Nuit,20h00 — 08h00,Oui,Oui,Oui
PHA0088,Officine Feudjio de PK14,Douala,Douala VI,PK14,3.969967,9.724733,+237 696 416 917,feudjiopk14@gmail.com,Non,Standard,Lun–Ven 08h00–19h00,Non,Non,Oui
PHA0089,Pharmacie Félicité Soboum,Douala,Douala I,Soboum,4.000334,9.666579,+237 654 269 076,félicitésoboum@pharmacie.cm,Non,Standard,Lun–Sam 07h30–20h00,Non,Oui,Oui
PHA0090,Officine Tabi de PK14,Douala,Douala II,PK14,4.099931,9.70654,+237 693 367 893,tabipk14@pharmacie.cm,Non,Standard,Lun–Sam 07h00–21h00,Non,Non,Non
PHA0091,Officine Kuitche de Bonanjo,Douala,Douala VI,Bonanjo,4.078382,9.675081,+237 650 510 362,kuitchebonanjo@pharmacie.cm,Non,Standard,Lun–Sam 07h00–21h00,Oui,Oui,Non
PHA0092,Pharmacie Luc Mvog-Atangana,Yaoundé,Yaoundé II,Mvog-Atangana,3.781161,11.493613,+237 693 993 567,lucmvog-atanga@yahoo.fr,Non,Standard,Lun–Ven 08h00–19h00,Oui,Oui,Oui
PHA0093,Officine Ateba de Akwa,Douala,Douala II,Akwa,4.057285,9.691024,+237 677 540 294,atebaakwa@hotmail.com,Oui,Weekend,Sam–Dim 08h00 — 20h00,Oui,Non,Oui
PHA0094,Officine Mvé de Mimboman,Yaoundé,Yaoundé VI,Mimboman,3.755182,11.468707,+237 679 739 489,mvémimboman@yahoo.fr,Non,Standard,Lun–Sam 08h00–18h30,Oui,Oui,Oui
PHA0095,Officine Fouda de Cité Verte,Yaoundé,Yaoundé VI,Cité Verte,3.862992,11.412142,+237 243 097 570,foudacitéverte@yahoo.fr,Non,Standard,Lun–Sam 07h30–20h00,Non,Non,Non
PHA0096,Officine Nkeng de Biteng,Yaoundé,Yaoundé II,Biteng,3.768643,11.509054,+237 653 698 917,nkengbiteng@yahoo.fr,Oui,Permanente,24h/24 — 7j/7,Non,Oui,Oui
PHA0097,Officine Engoulou de Soboum,Douala,Douala I,Soboum,4.093834,9.760031,+237 222 738 651,engoulousoboum@yahoo.fr,Oui,Nuit,20h00 — 08h00,Non,Non,Non
PHA0098,Pharmacie Saint-Jean,Yaoundé,Yaoundé IV,Efoulan,3.849639,11.460887,+237 679 588 734,jean@hotmail.com,Non,Standard,Lun–Sam 07h00–21h00,Non,Non,Non
PHA0099,Pharmacie du PK17,Douala,Douala II,PK17,4.085767,9.730273,+237 692 184 800,pk17@hotmail.com,Oui,Weekend,Sam–Dim 08h00 — 20h00,Non,Non,Non
PHA0100,Officine Manga de Boko,Douala,Douala V,Boko,4.046202,9.785414,+237 694 097 173,mangaboko@hotmail.com,Oui,Weekend,Sam–Dim 08h00 — 20h00,Non,Non,Non
PHA0101,Officine Mvé de PK14,Douala,Douala V,PK14,4.031511,9.622253,+237 650 074 343,mvépk14@hotmail.com,Non,Standard,Lun–Sam 08h00–18h30,Non,Oui,Oui
PHA0102,Officine Abega de Ndogbong,Douala,Douala VI,Ndogbong,4.113132,9.693547,+237 695 404 568,abegandogbong@pharmacie.cm,Non,Standard,Lun–Sam 08h00–18h30,Non,Oui,Non
PHA0103,Pharmacie de Melen,Yaoundé,Yaoundé III,Melen,3.876661,11.501325,+237 651 371 486,melen@hotmail.com,Non,Standard,Lun–Dim 08h00–20h00,Non,Oui,Non
PHA0104,Pharmacie Camille Cité des Palmiers,Douala,Douala II,Cité des Palmiers,4.061287,9.637971,+237 654 058 534,camilcitédespa@yahoo.fr,Non,Standard,Lun–Sam 08h00–18h30,Non,Oui,Non
PHA0105,Pharmacie de Nkol-Eton,Yaoundé,Yaoundé I,Nkol-Eton,3.777536,11.520144,+237 650 140 382,nkol-eton@gmail.com,Non,Standard,Lun–Sam 07h00–21h00,Non,Oui,Non
PHA0106,Pharmacie Jeanne Japoma,Douala,Douala IV,Japoma,4.047497,9.67067,+237 693 515 472,jeannejapoma@yahoo.fr,Non,Standard,Lun–Sam 08h00–18h30,Non,Oui,Non
PHA0107,Pharmacie Marie Ndokoti,Douala,Douala III,Ndokoti,4.021368,9.720223,+237 678 735 194,mariendokoti@sante.cm,Non,Standard,Lun–Dim 08h00–20h00,Non,Non,Non
PHA0108,Pharmacie Marc Ndokoti,Douala,Douala IV,Ndokoti,4.060312,9.752327,+237 243 737 767,marcndokoti@hotmail.com,Non,Standard,Lun–Ven 08h00–19h00,Oui,Non,Non
PHA0109,Pharmacie de Nzeng-Ayong,Douala,Douala I,Nzeng-Ayong,4.08894,9.738489,+237 653 794 127,nzeng-ayong@gmail.com,Oui,Nuit,20h00 — 08h00,Non,Oui,Non
PHA0110,Officine Nkeng de Cité Verte,Yaoundé,Yaoundé VII,Cité Verte,3.92844,11.525346,+237 653 404 484,nkengcitéverte@hotmail.com,Oui,Weekend,Sam–Dim 08h00 — 20h00,Oui,Non,Non
PHA0111,Pharmacie de Messa,Yaoundé,Yaoundé III,Messa,3.815123,11.564104,+237 696 749 041,messa@hotmail.com,Non,Standard,Lun–Ven 08h00–19h00,Oui,Non,Oui
PHA0112,Officine Hamadou de PK10,Douala,Douala II,PK10,3.980995,9.681233,+237 696 256 211,hamadoupk10@gmail.com,Non,Standard,Lun–Sam 07h30–20h00,Non,Non,Non
PHA0113,Officine Wamba de Bassa,Douala,Douala I,Bassa,4.03487,9.689288,+237 242 628 935,wambabassa@gmail.com,Non,Standard,Lun–Dim 08h00–20h00,Non,Non,Non
PHA0114,Pharmacie Thérèse PK17,Douala,Douala I,PK17,4.056182,9.677994,+237 697 303 183,thérèsepk17@sante.cm,Oui,Permanente,24h/24 — 7j/7,Non,Oui,Oui
PHA0115,Pharmacie Jean Bonanjo,Douala,Douala III,Bonanjo,4.003433,9.691599,+237 242 217 306,jeanbonanjo@pharmacie.cm,Non,Standard,Lun–Sam 08h00–18h30,Oui,Oui,Oui
PHA0116,Officine Belinga de Ndog-Passi III,Douala,Douala IV,Ndog-Passi III,4.01875,9.785325,+237 678 776 950,belingandog-pa@yahoo.fr,Non,Standard,Lun–Sam 07h00–21h00,Oui,Non,Non
PHA0117,Pharmacie Nlend,Yaoundé,Yaoundé VI,Mvog-Mbi,3.780833,11.506014,+237 233 189 658,nlend@hotmail.com,Non,Standard,Lun–Sam 08h00–18h30,Non,Oui,Oui
PHA0118,Pharmacie de Mvog-Beti,Yaoundé,Yaoundé VI,Mvog-Beti,3.853594,11.611791,+237 679 697 054,mvog-beti@gmail.com,Non,Standard,Lun–Sam 07h30–20h00,Non,Oui,Non
PHA0119,Pharmacie Bruno Ngoa-Ekélé,Yaoundé,Yaoundé VII,Ngoa-Ekélé,3.879042,11.476171,+237 677 640 742,brunongoa-ekél@gmail.com,Oui,Nuit,20h00 — 08h00,Non,Oui,Non
PHA0120,Officine Mbarga de Bepanda,Douala,Douala II,Bepanda,4.04793,9.703359,+237 652 164 418,mbargabepanda@pharmacie.cm,Oui,Permanente,24h/24 — 7j/7,Non,Oui,Non
PHA0121,Pharmacie Augustin Simbock,Yaoundé,Yaoundé IV,Simbock,3.880052,11.483693,+237 650 932 546,augustinsimboc@gmail.com,Non,Standard,Lun–Sam 07h00–21h00,Oui,Non,Non
PHA0122,Officine Zang de Biyem-Assi,Yaoundé,Yaoundé VII,Biyem-Assi,3.815663,11.568951,+237 694 220 214,zangbiyem-assi@hotmail.com,Oui,Nuit,20h00 — 08h00,Non,Oui,Oui
PHA0123,Pharmacie Saint-Augustin,Yaoundé,Yaoundé IV,Omnisports,3.777109,11.470952,+237 233 535 840,augustin@yahoo.fr,Oui,Weekend,Sam–Dim 08h00 — 20h00,Non,Oui,Non
PHA0124,Officine Tchoupo de Omnisports,Yaoundé,Yaoundé III,Omnisports,3.882749,11.433069,+237 694 238 639,tchoupoomnispo@gmail.com,Non,Standard,Lun–Dim 08h00–20h00,Non,Oui,Non
PHA0125,Pharmacie Pierre PK17,Douala,Douala I,PK17,4.09394,9.751935,+237 243 738 371,pierrepk17@hotmail.com,Non,Standard,Lun–Sam 08h00–18h30,Non,Oui,Oui
PHA0126,Pharmacie de Boko,Douala,Douala V,Boko,4.05159,9.778892,+237 222 443 043,boko@gmail.com,Non,Standard,Lun–Ven 08h00–19h00,Non,Oui,Non
PHA0127,Pharmacie Engoulou,Yaoundé,Yaoundé IV,Etoudi,3.817788,11.508544,+237 699 252 282,engoulou@yahoo.fr,Oui,Nuit,20h00 — 08h00,Non,Oui,Oui
PHA0128,Officine Onana de Tsinga,Yaoundé,Yaoundé VI,Tsinga,3.843704,11.570366,+237 692 732 417,onanatsinga@sante.cm,Non,Standard,Lun–Sam 07h00–21h00,Oui,Oui,Non
PHA0129,Pharmacie Jeanne PK17,Douala,Douala III,PK17,4.029747,9.766954,+237 654 976 511,jeannepk17@hotmail.com,Non,Standard,Lun–Sam 07h00–21h00,Oui,Oui,Non
PHA0130,Pharmacie Saint-Gabriel,Yaoundé,Yaoundé III,Santa Barbara,3.782687,11.460998,+237 655 645 219,gabriel@yahoo.fr,Non,Standard,Lun–Sam 08h00–18h30,Non,Non,Non
PHA0131,Officine Mvogo de Nkoldongo,Yaoundé,Yaoundé VII,Nkoldongo,3.945129,11.486224,+237 653 940 148,mvogonkoldongo@hotmail.com,Oui,Permanente,24h/24 — 7j/7,Non,Oui,Non
