id,nom,ville,arrondissement,quartier,latitude,longitude,telephone,email,type_centre,vaccination_enfants,vaccination_adultes,suivi_grossesse,planning_familial,consultation_nourrissons,vaccins_disponibles,carnet_sante_numerique,horaires
VAC0023,Centre de Vaccination Progrès,Yaoundé,Yaoundé III,Madagascar,3.914444,11.556906,+237 699 436 102,progrès@hotmail.com,PMI,Oui,Oui,Oui,Oui,Oui,COVID-19 | Tétanos | HPV | Fièvre jaune | Hépatite B,Non,Lun–Sam 08h30–18h30
VAC0024,Centre de Vaccination de Messa,Yaoundé,Yaoundé VII,Mvog-Mbi,3.782786,11.543783,+237 695 287 812,messa@gmail.com,CSI avec vaccination,Oui,Oui,Oui,Oui,Oui,Tétanos | HPV | Fièvre jaune | Polio | COVID-19 | Méningite | Hépatite B | DTP | BCG,Non,Lun–Sam 08h00–17h00
VAC0025,PMI de Ndogpassi,Douala,Douala II,Akwa,4.069803,9.652951,+237 678 312 000,ndogpassi@sante.cm,Centre de vaccination,Oui,Oui,Non,Non,Oui,Hépatite B | Rougeole | Fièvre jaune | Méningite,Oui,Lun–Sam 08h30–18h30
VAC0026,PMI de Ndog-Bong,Douala,Douala III,Bonaberi,4.068489,9.726053,+237 677 807 490,ndog-bong@hotmail.com,Centre de vaccination,Oui,Oui,Non,Oui,Oui,Méningite | Rougeole | Fièvre jaune | BCG | DTP,Non,7j/7 — 08h00–20h00
VAC0027,Centre de Vaccination de PK8,Douala,Douala III,PK14,4.091691,9.729665,+237 693 582 498,pk8@yahoo.fr,Centre de vaccination,Oui,Oui,Oui,Oui,Oui,Méningite | BCG | DTP | Fièvre jaune | COVID-19 | Polio | Tétanos | Rougeole | Hépatite B,Non,Lun–Ven 07h30–17h30
VAC0028,Centre de Vaccination Wamba,Yaoundé,Yaoundé IV,Émana,3.885138,11.602796,+237 693 180 319,wamba@gmail.com,PMI,Oui,Oui,Non,Non,Oui,DTP | BCG | Fièvre jaune | Rougeole,Non,Lun–Sam 07h00–20h00
VAC0029,PMI Saint-Luc,Yaoundé,Yaoundé V,Biteng,3.802933,11.530884,+237 694 501 444,luc@gmail.com,CSI avec vaccination,Oui,Oui,Non,Non,Oui,Polio | Tétanos | BCG | Rougeole,Non,Lun–Ven 07h30–17h30
VAC0030,Centre de Vaccination de New Bell,Douala,Douala VI,Bonanjo,4.101788,9.772835,+237 691 314 058,newbell@gmail.com,PMI,Oui,Oui,Oui,Oui,Oui,Méningite | Hépatite B | Tétanos | COVID-19 | Polio | Rougeole | BCG,Non,Lun–Dim 08h00–18h00
VAC0031,Centre de Vaccination Ekani,Douala,Douala IV,Makepe,4.039406,9.699973,+237 691 203 088,ekani@hotmail.com,Centre de vaccination,Oui,Oui,Oui,Oui,Oui,Rougeole | Fièvre jaune | Hépatite B | Tétanos | COVID-19 | DTP,Oui,Lun–Sam 08h00–17h00
VAC0032,PMI de Bonapriso,Douala,Douala I,PK10,4.011452,9.758311,+237 653 486 154,bonapriso@yahoo.fr,CSI avec vaccination,Oui,Oui,Non,Oui,Oui,Hépatite B | HPV | DTP | Fièvre jaune | Tétanos | Méningite | Polio | Rougeole | BCG | COVID-19,Non,Lun–Sam 07h30–19h00
VAC0033,PMI de Mvan,Yaoundé,Yaoundé VI,Mvan,3.904771,11.473927,+237 696 878 483,mvan@hotmail.com,Centre de vaccination,Oui,Non,Oui,Oui,Oui,HPV | Fièvre jaune | DTP | BCG | Rougeole | Polio | COVID-19 | Méningite | Tétanos,Non,Lun–Sam 08h30–18h30
VAC0034,Centre de Vaccination de Bassa,Douala,Douala III,Soboum,4.128883,9.745516,+237 222 327 669,bassa@hotmail.com,CSI avec vaccination,Oui,Oui,Non,Oui,Oui,Polio | COVID-19 | Méningite | Fièvre jaune | BCG,Non,Lun–Sam 08h30–18h30
VAC0035,Centre de Vaccination Assamba,Douala,Douala II,Koumassi,4.009248,9.659124,+237 654 858 181,assamba@hotmail.com,PMI,Oui,Oui,Oui,Non,Oui,HPV | Fièvre jaune | Rougeole | Polio | Méningite | COVID-19 | Tétanos,Non,7j/7 — 08h00–20h00
VAC0036,Centre de Vaccination de Ndoghem,Douala,Douala V,PK10,4.082098,9.67697,+237 699 155 050,ndoghem@sante.cm,CSI avec vaccination,Oui,Oui,Oui,Non,Non,COVID-19 | HPV | Polio | DTP | Rougeole | BCG | Hépatite B | Tétanos | Fièvre jaune | Méningite,Non,Lun–Dim 08h00–18h00
VAC0037,Centre de Vaccination de Bonanjo,Douala,Douala II,Bonanjo,4.000718,9.73281,+237 699 463 933,bonanjo@gmail.com,CSI avec vaccination,Oui,Oui,Oui,Non,Oui,Tétanos | DTP | Fièvre jaune | Hépatite B | BCG | Polio | COVID-19 | HPV,Non,Lun–Sam 07h30–19h00
VAC0038,Centre de Vaccination de Youpwé,Douala,Douala V,Bessengue,4.086416,9.692188,+237 692 010 057,youpwé@gmail.com,PMI,Oui,Oui,Oui,Oui,Oui,HPV | Méningite | BCG | COVID-19 | Tétanos | Polio | Hépatite B | Rougeole,Non,Lun–Dim 08h00–18h00
VAC0039,PMI Saint-Raphaël,Yaoundé,Yaoundé I,Nkol-Afeme,3.844617,11.395077,+237 691 274 875,raphaël@gmail.com,Centre de vaccination,Oui,Oui,Oui,Oui,Oui,Hépatite B | DTP | Fièvre jaune | BCG | Polio,Non,Lun–Sam 08h00–17h00
VAC0040,Centre de Vaccination de Ndokoti,Douala,Douala III,Japoma,4.06629,9.75923,+237 651 020 602,ndokoti@hotmail.com,CSI avec vaccination,Oui,Non,Non,Oui,Oui,BCG | Tétanos | Polio | Fièvre jaune | COVID-19 | DTP | Méningite | Rougeole | Hépatite B,Oui,Lun–Sam 07h30–19h00
VAC0041,Centre de Santé Maternelle et Infantile de Ndokoti,Douala,Douala I,Deido,4.037141,9.786805,+237 691 818 671,santématernele@sante.cm,CSI avec vaccination,Oui,Oui,Oui,Oui,Oui,Fièvre jaune | BCG | DTP | COVID-19 | Tétanos | HPV | Polio | Méningite | Hépatite B | Rougeole,Oui,Lun–Dim 08h00–18h00
VAC0042,Centre de Vaccination de Bonaloka,Douala,Douala III,New Bell,4.058459,9.67296,+237 696 314 347,bonaloka@sante.cm,Centre de vaccination,Oui,Non,Oui,Oui,Oui,Rougeole | COVID-19 | DTP | Tétanos | Méningite | HPV | Fièvre jaune | BCG,Non,Lun–Ven 08h00–18h00
VAC0043,PMI de Kondengui,Yaoundé,Yaoundé III,Étoa-Meki,3.904677,11.53236,+237 678 610 971,kondengui@gmail.com,Centre de vaccination,Oui,Oui,Non,Oui,Oui,Fièvre jaune | Rougeole | COVID-19 | HPV,Non,Lun–Sam 08h00–17h00
VAC0044,Centre de Vaccination de Odza,Yaoundé,Yaoundé VII,Odza,3.924219,11.469117,+237 699 156 211,odza@gmail.com,CSI avec vaccination,Oui,Oui,Oui,Oui,Oui,Méningite | BCG | Hépatite B | Polio | COVID-19 | Tétanos | HPV | Rougeole | Fièvre jaune,Non,Lun–Ven 07h30–17h30
VAC0045,PMI de Makepe,Douala,Douala II,Ndog-Bong,4.018547,9.664796,+237 691 095 151,makepe@yahoo.fr,Centre de vaccination,Oui,Oui,Oui,Non,Oui,Méningite | Polio | Hépatite B | Tétanos | Rougeole | COVID-19 | BCG | Fièvre jaune,Non,Lun–Ven 08h00–18h00
VAC0046,Centre de Vaccination de Mvan,Yaoundé,Yaoundé VI,Nkol-Afeme,3.879248,11.549107,+237 699 957 387,mvan@hotmail.com,CSI avec vaccination,Oui,Oui,Oui,Oui,Oui,Polio | Fièvre jaune | BCG | Méningite | Hépatite B | DTP | HPV,Oui,Lun–Sam 08h00–17h00
VAC0047,PMI de Bonanjo,Douala,Douala III,Bonanjo,4.076297,9.702509,+237 696 609 725,bonanjo@sante.cm,Centre de vaccination,Oui,Oui,Oui,Non,Oui,Méningite | DTP | Hépatite B | COVID-19 | Polio | Rougeole | Fièvre jaune | Tétanos | HPV | BCG,Oui,Lun–Dim 08h00–18h00
VAC0048,Centre de Vaccination de Ngousso,Yaoundé,Yaoundé V,Nkolbisson,3.784696,11.562953,+237 652 089 380,ngousso@yahoo.fr,PMI,Oui,Oui,Oui,Oui,Non,Polio | DTP | Méningite | Rougeole | Tétanos | BCG,Non,Lun–Sam 08h30–18h30
VAC0049,Centre de Vaccination de Etoudi,Yaoundé,Yaoundé II,Etoudi,3.785686,11.538022,+237 654 301 639,etoudi@gmail.com,PMI,Oui,Oui,Oui,Oui,Oui,Fièvre jaune | DTP | Hépatite B | Tétanos | HPV | Méningite | Rougeole | BCG,Oui,Lun–Ven 08h00–18h00
VAC0050,Centre de Vaccination Ndjock,Douala,Douala VI,Ndog-Passi III,4.090003,9.724924,+237 696 307 565,ndjock@gmail.com,CSI avec vaccination,Oui,Non,Oui,Oui,Oui,COVID-19 | Fièvre jaune | DTP | Tétanos | Polio,Non,Lun–Ven 08h00–18h00
VAC0051,Centre de Santé Maternelle et Infantile de Simbock,Yaoundé,Yaoundé IV,Simbock,3.851622,11.535925,+237 693 888 831,santématernele@gmail.com,PMI,Oui,Oui,Non,Oui,Oui,Hépatite B | COVID-19 | Fièvre jaune | BCG | Tétanos | Rougeole,Oui,Lun–Dim 08h00–18h00
VAC0052,Centre de Santé Maternelle et Infantile de Bepanda,Douala,Douala IV,Bonaberi,4.04544,9.778922,+237 222 052 339,santématernele@gmail.com,PMI,Oui,Oui,Non,Non,Oui,COVID-19 | DTP | Méningite | Rougeole | BCG,Non,Lun–Dim 08h00–18h00
VAC0053,Centre de Santé Maternelle et Infantile de Boko,Douala,Douala II,Bonaberi,4.029472,9.663578,+237 691 663 204,santématernele@sante.cm,CSI avec vaccination,Oui,Non,Non,Oui,Oui,Méningite | Fièvre jaune | BCG | Hépatite B | Tétanos | COVID-19,Oui,Lun–Sam 08h00–17h00
VAC0054,Centre de Vaccination Simo,Douala,Douala VI,Bonapriso,4.073194,9.669648,+237 696 991 533,simo@sante.cm,Centre de vaccination,Oui,Oui,Non,Oui,Oui,Hépatite B | Rougeole | DTP | Tétanos | COVID-19 | HPV | BCG | Polio,Non,Lun–Sam 07h00–20h00
VAC0055,Centre de Vaccination Nlend,Yaoundé,Yaoundé IV,Nkol-Afeme,3.879166,11.59432,+237 678 387 524,nlend@hotmail.com,Centre de vaccination,Oui,Oui,Oui,Non,Non,Fièvre jaune | HPV | Tétanos | Rougeole | Méningite | Polio | DTP | COVID-19 | Hépatite B,Non,Lun–Sam 08h00–17h00
VAC0056,Centre de Vaccination de Logbessou,Douala,Douala V,Ndogbong,3.975461,9.716399,+237 243 644 880,logbessou@gmail.com,Centre de vaccination,Oui,Oui,Oui,Oui,Non,HPV | Polio | Hépatite B | Méningite | BCG | Rougeole | Fièvre jaune,Non,Lun–Sam 08h00–17h00
VAC0057,PMI Saint-Luc,Yaoundé,Yaoundé VII,Ngousso,3.8581,11.57249,+237 655 622 576,luc@gmail.com,PMI,Oui,Non,Oui,Oui,Oui,Fièvre jaune | BCG | HPV | Polio | DTP | Hépatite B | Méningite | COVID-19 | Rougeole,Non,Lun–Ven 08h00–18h00
VAC0058,Centre de Santé Maternelle et Infantile de Mvan,Yaoundé,Yaoundé I,Mvog-Mbi,3.795678,11.506825,+237 222 826 194,santématernele@gmail.com,PMI,Oui,Oui,Non,Oui,Oui,Rougeole | Fièvre jaune | COVID-19 | DTP | Tétanos,Oui,Lun–Dim 08h00–18h00
VAC0059,Centre de Santé Maternelle et Infantile de Youpwé,Douala,Douala I,Youpwé,4.080844,9.788982,+237 651 855 509,santématernele@gmail.com,PMI,Oui,Oui,Oui,Non,Oui,Rougeole | Hépatite B | BCG | Tétanos | DTP | Méningite | Polio | HPV | Fièvre jaune | COVID-19,Non,Lun–Sam 07h00–20h00
VAC0060,Centre de Santé Maternelle et Infantile de Ngousso,Yaoundé,Yaoundé I,Ngousso,3.840419,11.569205,+237 242 099 749,santématernele@hotmail.com,CSI avec vaccination,Oui,Oui,Oui,Non,Non,Fièvre jaune | Tétanos | Polio | DTP | HPV | COVID-19 | Hépatite B | Rougeole | Méningite | BCG,Non,Lun–Ven 07h30–17h30
VAC0061,Centre de Vaccination de Bonaloka,Douala,Douala III,Ndog-Bong,4.11686,9.739742,+237 698 064 534,bonaloka@sante.cm,PMI,Oui,Non,Non,Oui,Oui,Rougeole | Tétanos | Méningite | Hépatite B | COVID-19 | HPV | Fièvre jaune | BCG,Oui,Lun–Sam 07h00–20h00
VAC0062,PMI de Ndog-Passi III,Douala,Douala IV,Ndogbong,4.019274,9.732861,+237 678 838 890,ndog-passiiii@hotmail.com,CSI avec vaccination,Oui,Oui,Oui,Non,Oui,Polio | Rougeole | Fièvre jaune | COVID-19 | Hépatite B | HPV | Tétanos | DTP | Méningite | BCG,Non,Lun–Ven 07h30–17h30
VAC0063,PMI de Bonaloka,Douala,Douala IV,PK12,4.091778,9.708848,+237 690 526 997,bonaloka@sante.cm,PMI,Oui,Oui,Oui,Oui,Oui,Rougeole | HPV | Hépatite B | Polio | COVID-19 | Méningite | Fièvre jaune,Non,Lun–Sam 07h00–20h00
VAC0064,PMI de Mvog-Atangana,Yaoundé,Yaoundé V,Mvog-Atangana,3.822146,11.580322,+237 243 303 298,mvog-atangana@hotmail.com,PMI,Oui,Non,Oui,Oui,Oui,HPV | Polio | Tétanos | COVID-19,Non,Lun–Dim 08h00–18h00
VAC0065,Centre de Vaccination de Ahala,Yaoundé,Yaoundé I,Ahala,3.785825,11.47828,+237 677 333 514,ahala@yahoo.fr,PMI,Oui,Oui,Oui,Non,Oui,Hépatite B | DTP | Rougeole | Polio | BCG | COVID-19 | Méningite | HPV,Oui,Lun–Ven 07h30–17h30
VAC0066,Centre de Vaccination de Nkongmondo,Douala,Douala VI,Nkongmondo,4.07285,9.794823,+237 679 143 898,nkongmondo@yahoo.fr,Centre de vaccination,Oui,Oui,Non,Oui,Oui,HPV | Fièvre jaune | Polio | DTP | COVID-19 | Méningite | Tétanos | BCG | Hépatite B,Non,Lun–Sam 07h00–20h00
VAC0067,Centre de Vaccination de PK14,Douala,Douala VI,Bali,3.995138,9.748514,+237 222 770 865,pk14@yahoo.fr,CSI avec vaccination,Oui,Oui,Non,Non,Oui,Hépatite B | Tétanos | HPV | Méningite | Polio | COVID-19 | Fièvre jaune | BCG | Rougeole,Non,Lun–Sam 07h00–20h00
VAC0068,PMI de Mendong,Yaoundé,Yaoundé V,Mendong,3.807045,11.464181,+237 693 798 289,mendong@yahoo.fr,PMI,Oui,Non,Oui,Oui,Oui,COVID-19 | Méningite | Hépatite B | Tétanos | BCG | Fièvre jaune | Rougeole | DTP,Non,Lun–Sam 08h30–18h30
VAC0069,PMI de Biteng,Yaoundé,Yaoundé III,Biteng,3.795092,11.583923,+237 242 841 329,biteng@yahoo.fr,Centre de vaccination,Oui,Non,Oui,Oui,Non,Méningite | Fièvre jaune | DTP | Hépatite B | Tétanos | HPV | BCG | Rougeole,Non,Lun–Sam 07h00–20h00
VAC0070,Centre de Vaccination de Mvog-Mbi,Yaoundé,Yaoundé II,Essos,3.764851,11.561043,+237 698 308 267,mvog-mbi@hotmail.com,PMI,Oui,Oui,Non,Oui,Non,Tétanos | Polio | Fièvre jaune | Méningite,Non,Lun–Sam 07h00–20h00
VAC0071,PMI de Santa Barbara,Yaoundé,Yaoundé I,Djoungolo,3.882877,11.489458,+237 652 610 257,santabarbara@gmail.com,Centre de vaccination,Oui,Oui,Oui,Non,Oui,Polio | Tétanos | Fièvre jaune | DTP | HPV | Rougeole,Non,7j/7 — 08h00–20h00
VAC0072,Centre de Vaccination de Santa Barbara,Yaoundé,Yaoundé III,Santa Barbara,3.790965,11.565452,+237 653 210 147,santabarbara@sante.cm,Centre de vaccination,Oui,Oui,Oui,Non,Oui,Fièvre jaune | HPV | Rougeole | DTP | Hépatite B | Méningite | Polio | Tétanos,Non,Lun–Ven 08h00–18h00
VAC0073,Centre de Vaccination Santé,Yaoundé,Yaoundé III,Briqueterie,3.794678,11.447538,+237 677 712 536,santé@hotmail.com,CSI avec vaccination,Oui,Oui,Non,Oui,Oui,HPV | Rougeole | BCG | Méningite,Oui,Lun–Sam 08h30–18h30
VAC0074,PMI de Ndogbong,Douala,Douala V,Boko,4.060217,9.68236,+237 651 364 132,ndogbong@yahoo.fr,CSI avec vaccination,Oui,Oui,Oui,Non,Oui,HPV | DTP | Rougeole | BCG | COVID-19 | Fièvre jaune | Polio,Non,Lun–Sam 08h30–18h30
VAC0075,PMI de Briqueterie,Yaoundé,Yaoundé I,Mendong,3.774587,11.533679,+237 242 270 086,briqueterie@gmail.com,CSI avec vaccination,Oui,Oui,Oui,Oui,Oui,Fièvre jaune | Tétanos | HPV | Rougeole | BCG,Oui,Lun–Sam 08h00–17h00
VAC0076,PMI Saint-Luc,Yaoundé,Yaoundé V,Efoulan,3.741322,11.492795,+237 698 648 408,luc@hotmail.com,CSI avec vaccination,Oui,Oui,Oui,Oui,Oui,Polio | Tétanos | HPV | Fièvre jaune | Hépatite B | DTP | Méningite,Non,Lun–Sam 08h30–18h30
VAC0077,PMI de Ndog-Bong,Douala,Douala I,Ndog-Bong,4.022826,9.713928,+237 652 130 286,ndog-bong@sante.cm,PMI,Oui,Non,Non,Oui,Non,Méningite | DTP | BCG | Hépatite B,Non,Lun–Sam 08h00–17h00
VAC0078,Centre de Vaccination Mvé,Yaoundé,Yaoundé II,Étoa-Meki,3.770761,11.504228,+237 243 073 879,mvé@yahoo.fr,CSI avec vaccination,Oui,Oui,Non,Oui,Oui,BCG | Rougeole | Tétanos | Polio | Fièvre jaune | COVID-19 | DTP | Méningite,Non,Lun–Sam 07h00–20h00
VAC0079,Centre de Vaccination de Ndog-Passi III,Douala,Douala III,Ndog-Passi III,4.110742,9.6642,+237 694 690 177,ndog-passiiii@sante.cm,CSI avec vaccination,Oui,Oui,Oui,Oui,Oui,COVID-19 | HPV | Méningite | Polio | Hépatite B,Oui,Lun–Ven 08h00–18h00
VAC0080,PMI Saint-François,Yaoundé,Yaoundé VII,Djoungolo,3.8111,11.459598,+237 698 936 517,françois@hotmail.com,Centre de vaccination,Oui,Oui,Non,Non,Oui,Fièvre jaune | Polio | BCG | Hépatite B | HPV | Méningite | Rougeole | Tétanos | COVID-19 | DTP,Non,Lun–Sam 08h30–18h30
VAC0081,Centre de Vaccination de Bonamoussadi,Douala,Douala I,PK10,4.062872,9.656522,+237 242 767 806,bonamoussadi@yahoo.fr,Centre de vaccination,Oui,Oui,Oui,Oui,Non,Polio | HPV | Fièvre jaune | Tétanos | COVID-19 | Hépatite B | Méningite,Oui,Lun–Dim 08h00–18h00
VAC0082,PMI Saint-Patrick,Douala,Douala III,Ndogpassi,4.056544,9.685869,+237 222 015 255,patrick@gmail.com,PMI,Oui,Oui,Oui,Oui,Oui,Tétanos | Hépatite B | COVID-19 | BCG | Rougeole | Polio,Non,Lun–Ven 07h30–17h30
VAC0083,Centre de Vaccination Engoulou,Yaoundé,Yaoundé III,Nkol-Eton,3.82134,11.489348,+237 655 368 342,engoulou@yahoo.fr,CSI avec vaccination,Oui,Oui,Oui,Oui,Oui,COVID-19 | DTP | Rougeole | Tétanos,Oui,Lun–Dim 08h00–18h00
VAC0084,PMI de Simbock,Yaoundé,Yaoundé VI,Tsinga,3.826541,11.559327,+237 650 206 342,simbock@sante.cm,PMI,Oui,Oui,Oui,Oui,Non,Polio | Rougeole | HPV | Fièvre jaune | Méningite,Non,Lun–Ven 07h30–17h30
VAC0085,Centre de Vaccination Vie,Douala,Douala II,Boko,3.979789,9.7371,+237 651 236 438,vie@gmail.com,CSI avec vaccination,Oui,Oui,Non,Oui,Non,Hépatite B | DTP | Tétanos | Fièvre jaune | BCG | Polio | COVID-19 | HPV | Rougeole | Méningite,Non,Lun–Sam 08h00–17h00
VAC0086,Centre de Vaccination de Bonamoussadi,Douala,Douala III,Bassa,4.055929,9.722589,+237 242 019 707,bonamoussadi@hotmail.com,CSI avec vaccination,Oui,Non,Oui,Non,Oui,COVID-19 | Tétanos | Méningite | DTP | BCG | Rougeole | Fièvre jaune | Hépatite B,Non,Lun–Sam 07h30–19h00
VAC0087,Centre de Santé Maternelle et Infantile de Mvog-Atangana,Yaoundé,Yaoundé II,Mvog-Atangana,3.757182,11.450117,+237 691 369 574,santématernele@yahoo.fr,PMI,Oui,Non,Non,Oui,Oui,Tétanos | Rougeole | COVID-19 | Fièvre jaune | Polio | HPV | BCG | Hépatite B | DTP,Oui,Lun–Ven 08h00–18h00
VAC0088,PMI Saint-Patrick,Douala,Douala IV,Makepe,4.002319,9.648872,+237 679 651 907,patrick@sante.cm,CSI avec vaccination,Oui,Non,Oui,Non,Oui,Méningite | HPV | Rougeole | BCG | DTP | Fièvre jaune | Tétanos,Non,7j/7 — 08h00–20h00
