id,nom,ville,arrondissement,quartier,latitude,longitude,telephone,email,radiographie,echographie,scanner,irm,mammographie,doppler,horaires
IMG0027,Centre d'Imagerie de Efoulan,Yaoundé,Yaoundé V,Essos,3.842505,11.602578,+237 679 225 974,efoulan@hotmail.com,Oui,Oui,Non,Non,Non,Oui,Lun–Dim 08h00–18h00
IMG0028,Centre d'Imagerie de Étoa-Meki,Yaoundé,Yaoundé IV,Odza,3.890205,11.584393,+237 691 268 988,étoa-meki@yahoo.fr,Oui,Oui,Non,Oui,Non,Non,Lun–Sam 07h00–20h00
IMG0029,Centre de Radiologie Saint-Cyprien,Yaoundé,Yaoundé V,Simbock,3.79477,11.56665,+237 691 966 220,radiologiecypr@hotmail.com,Oui,Oui,Non,Non,Non,Non,Lun–Sam 07h30–19h00
IMG0030,Clinique Radiologique Tabi,Yaoundé,Yaoundé I,Madagascar,3.942429,11.5228,+237 691 298 662,radiologiqueta@hotmail.com,Oui,Oui,Oui,Non,Non,Non,Lun–Sam 07h00–20h00
IMG0031,Centre d'Imagerie de Biteng,Yaoundé,Yaoundé III,Biteng,3.813318,11.467468,+237 691 454 517,biteng@yahoo.fr,Oui,Oui,Oui,Non,Non,Oui,Lun–Sam 08h30–18h30
IMG0032,Cabinet de Radiologie de Mvog-Mbi,Yaoundé,Yaoundé I,Cité Verte,3.847185,11.438319,+237 651 841 515,radiologiemvog@hotmail.com,Oui,Non,Non,Non,Non,Non,7j/7 — 08h00–20h00
IMG0033,Centre de Radiologie Saint-André,Yaoundé,Yaoundé III,Ngoa-Ekélé,3.872174,11.494165,+237 243 121 363,radiologieandr@gmail.com,Oui,Oui,Non,Non,Oui,Non,Lun–Sam 07h00–20h00
IMG0034,Cabinet de Radiologie de Mendong,Yaoundé,Yaoundé I,Messa,3.817995,11.605082,+237 677 117 105,radiologiemend@yahoo.fr,Oui,Oui,Non,Oui,Non,Non,Lun–Sam 08h30–18h30
IMG0035,Imagerie Médicale Nkoa,Yaoundé,Yaoundé II,Nkolbisson,3.776999,11.453868,+237 690 422 310,médicankoa@hotmail.com,Oui,Non,Non,Non,Non,Oui,Lun–Sam 07h00–20h00
IMG0036,Cabinet de Radiologie de Mbanya,Douala,Douala V,Logbessou,4.119254,9.685779,+237 695 807 657,radiologiemban@yahoo.fr,Oui,Oui,Oui,Oui,Non,Oui,Lun–Ven 08h00–18h00
IMG0037,Centre d'Imagerie de Boko,Douala,Douala IV,Japoma,4.022357,9.75578,+237 243 104 188,boko@gmail.com,Oui,Oui,Oui,Non,Oui,Non,Lun–Sam 08h00–17h00
IMG0038,Imagerie Médicale Elong,Yaoundé,Yaoundé IV,Mvog-Atangana,3.81439,11.484627,+237 678 890 404,médicaelong@yahoo.fr,Oui,Oui,Non,Non,Non,Oui,Lun–Sam 08h00–17h00
IMG0039,Clinique Radiologique Mvé,Yaoundé,Yaoundé VII,Santa Barbara,3.913687,11.585655,+237 655 100 160,radiologiquemv@hotmail.com,Oui,Oui,Non,Oui,Oui,Non,Lun–Sam 08h30–18h30
IMG0040,Cabinet de Radiologie de New Bell,Douala,Douala III,Nyalla,3.997067,9.701923,+237 699 948 259,radiologienewb@imagerie.cm,Oui,Oui,Non,Non,Oui,Oui,Lun–Ven 07h30–17h30
IMG0041,Imagerie Médicale Essomba,Douala,Douala VI,Bonanjo,4.121295,9.710389,+237 678 543 125,médicaessomba@yahoo.fr,Oui,Oui,Oui,Non,Non,Non,Lun–Sam 07h30–19h00
IMG0042,Cabinet de Radiologie de Youpwé,Douala,Douala VI,Youpwé,4.025396,9.686839,+237 650 871 698,radiologieyoup@hotmail.com,Oui,Oui,Oui,Non,Non,Non,Lun–Sam 08h00–17h00
IMG0043,Cabinet de Radiologie de Mbanya,Douala,Douala II,Mbanya,4.056426,9.621392,+237 698 221 506,radiologiemban@yahoo.fr,Oui,Oui,Oui,Non,Non,Non,Lun–Sam 08h30–18h30
IMG0044,Clinique Radiologique Fotso,Yaoundé,Yaoundé III,Mvan,3.826106,11.606382,+237 242 566 731,radiologiquefo@imagerie.cm,Oui,Oui,Non,Non,Non,Non,Lun–Sam 08h30–18h30
IMG0045,Clinique Radiologique Fotso,Douala,Douala II,Ndog-Bong,4.069351,9.681748,+237 692 501 935,radiologiquefo@yahoo.fr,Oui,Oui,Non,Non,Non,Non,Lun–Sam 07h30–19h00
IMG0046,Centre de Radiologie Saint-Marc,Douala,Douala III,Mbanya,4.128648,9.665944,+237 653 126 782,radiologiemarc@imagerie.cm,Oui,Oui,Non,Oui,Non,Non,Lun–Ven 07h30–17h30
IMG0047,Centre d'Imagerie Secours,Douala,Douala I,Bali,4.070731,9.764591,+237 652 052 499,secours@hotmail.com,Oui,Oui,Oui,Non,Oui,Non,Lun–Sam 07h30–19h00
IMG0048,Centre d'Imagerie de Bessengue,Douala,Douala I,Village,4.072047,9.792006,+237 690 836 259,bessengue@gmail.com,Oui,Oui,Oui,Non,Oui,Non,Lun–Sam 07h30–19h00
IMG0049,Cabinet de Radiologie de Logbessou,Douala,Douala II,Logbessou,4.018333,9.627611,+237 696 918 788,radiologielogb@hotmail.com,Oui,Oui,Non,Non,Oui,Non,Lun–Ven 08h00–18h00
IMG0050,Clinique Radiologique Mvogo,Yaoundé,Yaoundé VII,Omnisports,3.768177,11.548001,+237 222 135 909,radiologiquemv@yahoo.fr,Oui,Oui,Oui,Oui,Non,Non,Lun–Sam 08h00–17h00
IMG0051,Centre d'Imagerie de Bonamoussadi,Douala,Douala VI,Bonamoussadi,4.040917,9.754068,+237 698 584 352,bonamoussadi@yahoo.fr,Oui,Oui,Non,Oui,Non,Oui,Lun–Ven 07h30–17h30
IMG0052,Clinique Radiologique Simo,Douala,Douala VI,Sodiko,4.089073,9.631993,+237 698 456 365,radiologiquesi@gmail.com,Oui,Oui,Non,Non,Oui,Non,Lun–Ven 07h30–17h30
IMG0053,Cabinet de Radiologie de Ndogbong,Douala,Douala V,Ndog-Bong,4.083301,9.635508,+237 242 605 049,radiologiendog@yahoo.fr,Oui,Oui,Non,Non,Oui,Non,Lun–Sam 08h00–17h00
IMG0054,Centre d'Imagerie Vie,Yaoundé,Yaoundé V,Nkol-Eton,3.769887,11.459165,+237 694 871 255,vie@hotmail.com,Oui,Oui,Oui,Oui,Non,Non,Lun–Ven 08h00–18h00
IMG0055,Cabinet de Radiologie de PK10,Douala,Douala I,Nzeng-Ayong,4.092561,9.70209,+237 243 662 547,radiologiepk10@gmail.com,Oui,Oui,Non,Non,Non,Non,Lun–Dim 08h00–18h00
IMG0056,Centre d'Imagerie de Mboppi,Douala,Douala VI,Bonaloka,4.041303,9.678747,+237 692 684 458,mboppi@gmail.com,Oui,Oui,Oui,Non,Oui,Non,Lun–Sam 08h30–18h30
IMG0057,Cabinet de Radiologie de Nzeng-Ayong,Douala,Douala III,Nzeng-Ayong,4.101141,9.703614,+237 693 781 417,radiologienzen@imagerie.cm,Oui,Non,Non,Non,Non,Oui,Lun–Dim 08h00–18h00
IMG0058,Centre d'Imagerie de Ndogbong,Douala,Douala I,Makepe,4.026587,9.773655,+237 653 430 270,ndogbong@yahoo.fr,Oui,Oui,Oui,Non,Non,Non,Lun–Sam 07h00–20h00
IMG0059,Centre d'Imagerie Harmonie,Yaoundé,Yaoundé VII,Biteng,3.909555,11.51562,+237 654 088 222,harmonie@imagerie.cm,Oui,Oui,Oui,Non,Non,Oui,7j/7 — 08h00–20h00
IMG0060,Cabinet de Radiologie de Akwa,Douala,Douala III,Akwa,4.01419,9.677207,+237 693 376 992,radiologieakwa@yahoo.fr,Oui,Oui,Non,Non,Non,Non,Lun–Dim 08h00–18h00
IMG0061,Clinique Radiologique Zang,Douala,Douala III,Youpwé,4.061747,9.724057,+237 222 758 466,radiologiqueza@gmail.com,Oui,Oui,Oui,Non,Non,Non,Lun–Sam 08h00–17h00
IMG0062,Centre d'Imagerie de Odza,Yaoundé,Yaoundé VI,Bastos,3.852415,11.56151,+237 651 330 907,odza@yahoo.fr,Oui,Oui,Oui,Non,Oui,Oui,Lun–Sam 08h00–17h00
IMG0063,Cabinet de Radiologie de Nkol-Afeme,Yaoundé,Yaoundé VII,Nkol-Afeme,3.813727,11.429827,+237 222 690 860,radiologienkol@hotmail.com,Oui,Oui,Oui,Non,Non,Non,Lun–Sam 07h00–20h00
IMG0064,Centre de Radiologie Saint-Joseph,Yaoundé,Yaoundé IV,Nkoabang,3.764955,11.487027,+237 699 593 317,radiologiejose@yahoo.fr,Oui,Non,Non,Non,Non,Oui,7j/7 — 08h00–20h00
IMG0065,Centre d'Imagerie de Bastos,Yaoundé,Yaoundé VII,Bastos,3.806318,11.446178,+237 696 083 053,bastos@yahoo.fr,Oui,Oui,Oui,Oui,Oui,Oui,Lun–Sam 08h00–17h00
IMG0066,Centre d'Imagerie Confiance,Douala,Douala IV,Nkongmondo,4.095882,9.646115,+237 694 430 446,confiance@imagerie.cm,Oui,Oui,Non,Non,Oui,Oui,Lun–Ven 07h30–17h30
IMG0067,Centre d'Imagerie de PK10,Douala,Douala I,Bassa,4.02005,9.679411,+237 654 724 209,pk10@yahoo.fr,Oui,Oui,Oui,Oui,Oui,Oui,Lun–Sam 07h00–20h00
IMG0068,Centre de Radiologie Saint-Jeanne,Douala,Douala II,Makepe,4.016089,9.782954,+237 652 397 990,radiologiejean@imagerie.cm,Oui,Oui,Oui,Non,Non,Non,Lun–Sam 07h30–19h00
IMG0069,Cabinet de Radiologie de Koumassi,Douala,Douala II,Mboppi,4.041884,9.623571,+237 650 694 259,radiologiekoum@gmail.com,Oui,Non,Oui,Non,Oui,Oui,Lun–Sam 08h00–17h00
IMG0070,Cabinet de Radiologie de Bepanda,Douala,Douala IV,Bali,4.111824,9.773762,+237 677 523 943,radiologiebepa@hotmail.com,Oui,Oui,Non,Non,Non,Non,Lun–Ven 07h30–17h30
IMG0071,Cabinet de Radiologie de Nkongmondo,Douala,Douala I,Nkongmondo,3.988615,9.6539,+237 222 191 732,radiologienkon@gmail.com,Oui,Oui,Non,Non,Non,Oui,Lun–Ven 07h30–17h30
IMG0072,Cabinet de Radiologie de Messa,Yaoundé,Yaoundé III,Etoudi,3.782092,11.504134,+237 697 891 150,radiologiemess@yahoo.fr,Oui,Oui,Oui,Non,Non,Oui,Lun–Sam 08h00–17h00
IMG0073,Centre d'Imagerie Alliance,Yaoundé,Yaoundé II,Mvog-Ada,3.920254,11.557169,+237 222 887 976,alliance@gmail.com,Oui,Oui,Non,Non,Oui,Non,7j/7 — 08h00–20h00
IMG0074,Imagerie Médicale Mbassi,Yaoundé,Yaoundé VI,Briqueterie,3.870978,11.556894,+237 233 073 201,médicambassi@yahoo.fr,Oui,Oui,Non,Oui,Non,Oui,Lun–Sam 08h00–17h00
IMG0075,Cabinet de Radiologie de Sodiko,Douala,Douala II,Sodiko,4.110033,9.717877,+237 678 686 065,radiologiesodi@imagerie.cm,Oui,Non,Non,Non,Oui,Non,Lun–Sam 08h00–17h00
IMG0076,Centre d'Imagerie de Nkoldongo,Yaoundé,Yaoundé III,Ngoa-Ekélé,3.877679,11.542687,+237 694 039 528,nkoldongo@yahoo.fr,Oui,Oui,Oui,Non,Non,Non,Lun–Sam 07h30–19h00
IMG0077,Clinique Radiologique Biyiti,Douala,Douala V,Bassa,4.116233,9.749617,+237 699 789 316,radiologiquebi@imagerie.cm,Oui,Oui,Non,Non,Non,Non,Lun–Sam 08h00–17h00
IMG0078,Centre de Radiologie Saint-Jean,Douala,Douala II,Bepanda,4.119058,9.689444,+237 653 914 257,radiologiejean@gmail.com,Oui,Oui,Non,Non,Non,Oui,Lun–Sam 08h30–18h30
IMG0079,Centre d'Imagerie de Bepanda,Douala,Douala VI,Bali,4.135531,9.681881,+237 694 424 749,bepanda@imagerie.cm,Oui,Oui,Oui,Non,Non,Oui,7j/7 — 08h00–20h00
IMG0080,Clinique Radiologique Ndjock,Douala,Douala IV,Nyalla,4.043629,9.79074,+237 691 280 139,radiologiquend@yahoo.fr,Oui,Oui,Non,Non,Oui,Non,7j/7 — 08h00–20h00
IMG0081,Imagerie Médicale Owona,Douala,Douala II,Bonaberi,4.12081,9.654601,+237 692 114 916,médicaowona@yahoo.fr,Oui,Oui,Non,Non,Non,Non,Lun–Sam 08h00–17h00
IMG0082,Centre d'Imagerie de Ngoa-Ekélé,Yaoundé,Yaoundé V,Ngoa-Ekélé,3.786987,11.572205,+237 690 712 865,ngoa-ekélé@gmail.com,Oui,Non,Non,Non,Oui,Non,Lun–Sam 08h30–18h30
IMG0083,Centre d'Imagerie de Koumassi,Douala,Douala I,Bonanjo,4.078829,9.709768,+237 651 158 690,koumassi@hotmail.com,Oui,Oui,Non,Non,Non,Oui,7j/7 — 08h00–20h00
IMG0084,Centre de Radiologie Saint-Marie,Yaoundé,Yaoundé VI,Melen,3.791467,11.509947,+237 678 416 494,radiologiemari@hotmail.com,Oui,Non,Non,Oui,Non,Non,Lun–Ven 08h00–18h00
IMG0085,Clinique Radiologique Nkeng,Yaoundé,Yaoundé III,Ngousso,3.831055,11.522348,+237 695 919 810,radiologiquenk@yahoo.fr,Oui,Non,Oui,Non,Non,Non,Lun–Ven 08h00–18h00
IMG0086,Centre d'Imagerie Bonheur,Yaoundé,Yaoundé V,Djoungolo,3.809175,11.431089,+237 694 468 652,bonheur@gmail.com,Oui,Oui,Oui,Non,Non,Non,Lun–Sam 07h00–20h00
IMG0087,Cabinet de Radiologie de Ndoghem,Douala,Douala VI,Ndokoti,4.042069,9.641478,+237 678 534 088,radiologiendog@hotmail.com,Oui,Oui,Oui,Oui,Non,Non,Lun–Sam 07h30–19h00
IMG0088,Imagerie Médicale Nkoa,Douala,Douala III,Makepe,4.023559,9.632054,+237 243 878 188,médicankoa@yahoo.fr,Oui,Oui,Non,Non,Non,Oui,Lun–Sam 08h00–17h00
IMG0089,Centre de Radiologie Saint-Claire,Yaoundé,Yaoundé V,Obili,3.913774,11.419664,+237 654 496 429,radiologieclai@yahoo.fr,Oui,Oui,Oui,Non,Non,Non,Lun–Sam 07h00–20h00
IMG0090,Clinique Radiologique Ondoa,Douala,Douala V,Youpwé,3.992482,9.744281,+237 698 787 330,radiologiqueon@gmail.com,Oui,Oui,Non,Non,Non,Oui,Lun–Sam 08h00–17h00
IMG0091,Clinique Radiologique Mvogo,Douala,Douala II,Bangue,4.136263,9.690361,+237 678 977 100,radiologiquemv@gmail.com,Oui,Oui,Non,Non,Non,Oui,Lun–Ven 08h00–18h00
IMG0092,Centre d'Imagerie Harmonie,Douala,Douala VI,Bali,3.966003,9.694549,+237 697 611 989,harmonie@imagerie.cm,Oui,Oui,Non,Non,Oui,Oui,Lun–Sam 07h30–19h00
IMG0093,Clinique Radiologique Kuitche,Douala,Douala VI,Bonaloka,4.110293,9.647641,+237 694 186 089,radiologiqueku@imagerie.cm,Oui,Oui,Non,Non,Oui,Oui,Lun–Dim 08h00–18h00
IMG0094,Centre de Radiologie Saint-Bruno,Yaoundé,Yaoundé VII,Carrière,3.814532,11.481365,+237 696 052 493,radiologiebrun@gmail.com,Oui,Oui,Oui,Non,Non,Non,7j/7 — 08h00–20h00
IMG0095,Cabinet de Radiologie de Biyem-Assi,Yaoundé,Yaoundé I,Biyem-Assi,3.891746,11.506751,+237 694 572 468,radiologiebiye@gmail.com,Oui,Oui,Oui,Non,Non,Non,Lun–Sam 08h00–17h00
IMG0096,Clinique Radiologique Mbarga,Douala,Douala III,Ndog-Passi III,4.099337,9.762429,+237 696 907 782,radiologiquemb@hotmail.com,Oui,Oui,Non,Oui,Oui,Non,Lun–Sam 07h00–20h00
IMG0097,Cabinet de Radiologie de Deido,Douala,Douala V,Ndogpassi,3.990235,9.678298,+237 653 812 869,radiologiedeid@imagerie.cm,Oui,Oui,Oui,Non,Non,Oui,Lun–Sam 07h30–19h00
IMG0098,Centre d'Imagerie de Obili,Yaoundé,Yaoundé IV,Obili,3.797553,11.419018,+237 651 786 336,obili@imagerie.cm,Oui,Oui,Non,Non,Oui,Non,Lun–Ven 07h30–17h30
IMG0099,Centre de Radiologie Saint-Luc,Yaoundé,Yaoundé IV,Melen,3.824135,11.450253,+237 243 857 151,radiologieluc@hotmail.com,Oui,Oui,Non,Non,Oui,Non,Lun–Sam 08h30–18h30
IMG0100,Clinique Radiologique Mbassi,Yaoundé,Yaoundé III,Cité Verte,3.762168,11.538421,+237 222 630 909,radiologiquemb@yahoo.fr,Oui,Non,Non,Non,Non,Non,Lun–Sam 08h00–17h00
IMG0101,Centre d'Imagerie de Mendong,Yaoundé,Yaoundé II,Mendong,3.922193,11.555974,+237 653 359 146,mendong@yahoo.fr,Oui,Oui,Non,Non,Oui,Non,Lun–Sam 07h00–20h00
IMG0102,Centre d'Imagerie de Ndog-Passi III,Douala,Douala IV,Ndog-Bong,4.055457,9.766428,+237 696 903 935,ndog-passiiii@gmail.com,Oui,Oui,Non,Non,Non,Non,Lun–Dim 08h00–18h00
IMG0103,Cabinet de Radiologie de Mbanya,Douala,Douala VI,PK8,4.005415,9.741324,+237 222 533 133,radiologiemban@gmail.com,Oui,Non,Non,Non,Non,Non,Lun–Sam 08h30–18h30
IMG0104,Clinique Radiologique Tchoupo,Yaoundé,Yaoundé III,Briqueterie,3.946334,11.513589,+237 694 300 075,radiologiquetc@hotmail.com,Oui,Oui,Non,Non,Non,Non,7j/7 — 08h00–20h00
IMG0105,Cabinet de Radiologie de Bonamoussadi,Douala,Douala VI,Bonamoussadi,4.115371,9.701414,+237 655 790 166,radiologiebona@imagerie.cm,Oui,Non,Non,Non,Oui,Non,Lun–Sam 07h00–20h00
IMG0106,Cabinet de Radiologie de Olembe,Yaoundé,Yaoundé VII,Olembe,3.83449,11.458236,+237 693 564 134,radiologieolem@imagerie.cm,Oui,Oui,Oui,Non,Non,Non,Lun–Sam 07h00–20h00
IMG0107,Imagerie Médicale Nguele,Yaoundé,Yaoundé VII,Kondengui,3.835505,11.534446,+237 699 160 108,médicanguele@hotmail.com,Oui,Oui,Oui,Non,Non,Oui,Lun–Sam 08h00–17h00
IMG0108,Clinique Radiologique Ngoa,Douala,Douala I,Cité des Palmiers,3.984395,9.702473,+237 699 542 575,radiologiqueng@imagerie.cm,Oui,Oui,Non,Non,Oui,Non,Lun–Dim 08h00–18h00
IMG0109,Centre de Radiologie Saint-Damien,Douala,Douala V,Nyalla,4.096202,9.712473,+237 233 920 674,radiologiedami@gmail.com,Oui,Oui,Non,Non,Non,Non,Lun–Sam 08h30–18h30
IMG0110,Centre d'Imagerie Providence,Yaoundé,Yaoundé VII,Olembe,3.754931,11.517821,+237 242 821 702,providence@hotmail.com,Oui,Oui,Non,Non,Non,Non,Lun–Ven 07h30–17h30
IMG0111,Cabinet de Radiologie de Bonamoussadi,Douala,Douala IV,Bali,4.050202,9.65893,+237 222 950 988,radiologiebona@hotmail.com,Oui,Oui,Oui,Oui,Non,Non,Lun–Sam 07h00–20h00
IMG0112,Imagerie Médicale Simo,Douala,Douala VI,Ndogbong,4.027686,9.661156,+237 655 798 027,médicasimo@imagerie.cm,Oui,Non,Oui,Non,Oui,Non,Lun–Dim 08h00–18h00
IMG0113,Centre d'Imagerie de PK12,Douala,Douala II,Nkongmondo,4.016655,9.747906,+237 679 650 186,pk12@imagerie.cm,Oui,Non,Non,Non,Non,Oui,Lun–Sam 07h30–19h00
IMG0114,Centre d'Imagerie Bien-être,Douala,Douala I,Nyalla,3.98067,9.721031,+237 691 322 753,bien-être@hotmail.com,Oui,Oui,Non,Non,Non,Non,Lun–Sam 08h30–18h30
IMG0115,Centre d'Imagerie de Bangue,Douala,Douala VI,Bonamoussadi,4.12968,9.734665,+237 678 674 320,bangue@yahoo.fr,Oui,Oui,Oui,Non,Oui,Non,Lun–Sam 08h30–18h30
IMG0116,Imagerie Médicale Ngoa,Douala,Douala III,Bonamoussadi,4.073064,9.655627,+237 653 466 706,médicangoa@hotmail.com,Oui,Non,Oui,Non,Oui,Non,Lun–Sam 08h30–18h30
IMG0117,Cabinet de Radiologie de Bali,Douala,Douala VI,Bepanda,3.978455,9.678904,+237 243 818 999,radiologiebali@imagerie.cm,Oui,Oui,Oui,Non,Non,Non,Lun–Sam 08h00–17h00
IMG0118,Cabinet de Radiologie de Bonanjo,Douala,Douala V,Boko,4.125514,9.734077,+237 650 496 140,radiologiebona@gmail.com,Oui,Oui,Non,Non,Non,Oui,Lun–Sam 07h00–20h00
IMG0119,Cabinet de Radiologie de Kondengui,Yaoundé,Yaoundé V,Mvog-Beti,3.80294,11.514787,+237 696 396 382,radiologiekond@imagerie.cm,Oui,Oui,Non,Non,Non,Oui,Lun–Sam 07h30–19h00
IMG0120,Cabinet de Radiologie de Bassa,Douala,Douala I,Bassa,4.073838,9.700335,+237 695 105 764,radiologiebass@gmail.com,Oui,Oui,Non,Non,Non,Non,Lun–Sam 08h30–18h30
IMG0121,Centre de Radiologie Saint-Bernadette,Yaoundé,Yaoundé VII,Etoudi,3.845484,11.57352,+237 698 542 495,radiologiebern@imagerie.cm,Oui,Oui,Non,Oui,Non,Non,Lun–Sam 07h30–19h00
IMG0122,Centre de Radiologie Saint-François,Douala,Douala III,New Bell,4.029171,9.643378,+237 651 029 044,radiologiefran@yahoo.fr,Oui,Oui,Non,Non,Non,Non,Lun–Ven 08h00–18h00
IMG0123,Centre d'Imagerie Bien-être,Yaoundé,Yaoundé V,Bastos,3.852396,11.53831,+237 677 647 798,bien-être@imagerie.cm,Oui,Oui,Non,Oui,Non,Non,Lun–Dim 08h00–18h00
IMG0124,Centre d'Imagerie de Makepe,Douala,Douala III,Bali,4.122025,9.731922,+237 222 981 681,makepe@hotmail.com,Oui,Oui,Oui,Non,Non,Oui,Lun–Ven 07h30–17h30
